 gene    name , gene    ENS ,Vagina
 SAGE1,ENSG00000181433,0.00663021004020358
 RP11-89K11.1,ENSG00000259658,0.945142820051323
 AC093802.1,ENSG00000220256,0.109266539358788
 C4orf19,ENSG00000154274,1.5407465516561
 SLC7A6OS,ENSG00000103061,-0.0789439182971473
 C4orf17,ENSG00000138813,0.17740676297347
 CDH26,ENSG00000124215,0.113080276591275
 ETV3L,ENSG00000253831,-0.266815333304047
 C15orf26,ENSG00000156206,-0.0186353813762663
 C15orf27,ENSG00000169758,-0.451122358939271
 ZNF117,ENSG00000152926,0.360365910352193
 ZNF114,ENSG00000178150,0.135357205238224
 ZNF112,ENSG00000062370,-0.132111750437556
 SEZ6L,ENSG00000100095,-1.07699372635291
 ITGA8,ENSG00000077943,1.03769411995497
 ITGA9,ENSG00000144668,0.358004715954966
 PRKAR2A,ENSG00000114302,-0.17179536721806
 PRKAR2B,ENSG00000005249,-0.63940532698552
 S1PR5,ENSG00000180739,0.606250994774093
 S1PR4,ENSG00000125910,0.354104364853501
 ITGA2B,ENSG00000005961,0.768141354984166
 ATP2A3,ENSG00000074370,-0.398548891039705
 PHACTR4,ENSG00000204138,0.0545873742713977
 PHACTR1,ENSG00000112137,-0.134193811156321
 OR2K2,ENSG00000171133,-0.663328753180711
 PHACTR3,ENSG00000087495,-2.69681374133864
 KRTAP2-3,ENSG00000212724,0.153444378198829
 KRTAP2-2,ENSG00000214518,-0.0121392975713132
 KRTAP2-1,ENSG00000212725,-0.617694300169008
 KRTAP2-4,ENSG00000213417,0.313059983739479
 ITGA7,ENSG00000135424,-0.296690304813392
 VMP1,ENSG00000062716,0.00449718331022304
 NR1D1,ENSG00000126368,0.640185221292579
 NR1D2,ENSG00000174738,0.108683564943171
 OGFR,ENSG00000060491,0.18499370433473
 PTCH2,ENSG00000117425,-0.517536327110888
 PTCH1,ENSG00000185920,-0.574116551701188
 TIMM44,ENSG00000104980,0.131258380918547
 RAD9B,ENSG00000151164,-0.575429879904417
 RAD9A,ENSG00000172613,0.064079899193563
 ERGIC2,ENSG00000087502,-0.0941559456795969
 ERGIC3,ENSG00000125991,0.329889442579637
 ERGIC1,ENSG00000113719,-0.00551801361913343
 B3GAT3,ENSG00000149541,-0.0049752405932598
 B3GAT2,ENSG00000112309,-0.00242201995941588
 B3GAT1,ENSG00000109956,-1.29962696457847
 CALM2,ENSG00000143933,-0.535190861740376
 TTC30A,ENSG00000197557,-0.831491684136259
 TTC30B,ENSG00000196659,-0.486253971908017
 SPG20,ENSG00000133104,0.105626247848661
 GSDMA,ENSG00000167914,1.11754143840002
 GSDMB,ENSG00000073605,-0.00238265834367121
 GSDMC,ENSG00000147697,2.60693425197299
 GSDMD,ENSG00000104518,0.510535382219673
 FBXL13,ENSG00000161040,0.319817795402369
 UPK1B,ENSG00000114638,-1.34563465737106
 DLGAP2,ENSG00000198010,-0.607512276280292
 DLGAP3,ENSG00000116544,-0.678470467265976
 DLGAP1,ENSG00000170579,-0.63466124668827
 DLGAP4,ENSG00000080845,0.0223936378034168
 DLGAP5,ENSG00000126787,0.674347858156075
 KB-1507C5.2,ENSG00000253320,-0.245916580812694
 OIP5,ENSG00000104147,0.364966746749292
 FBXL19,ENSG00000099364,-0.162265002779207
 LRRFIP1,ENSG00000124831,0.0362455146307961
 PTPN18,ENSG00000072135,0.320913634050945
 PTPN13,ENSG00000163629,0.36836636813383
 PTPN12,ENSG00000127947,0.00220814408061502
 PTPN11,ENSG00000179295,-0.00403958749375156
 PTPN14,ENSG00000152104,0.0334599918698738
 LYAR,ENSG00000145220,-0.179365379549386
 SDK2,ENSG00000069188,0.876140947967069
 TFIP11,ENSG00000100109,-0.238655498738156
 C2orf81,ENSG00000159239,-0.125887359829186
 C2orf80,ENSG00000188674,-0.377828112440883
 DMRTB1,ENSG00000143006,0.19862486435672
 C2orf82,ENSG00000182600,-0.505601389666508
 C2orf88,ENSG00000187699,1.34646841502961
 CDK1,ENSG00000170312,0.589916261214084
 MZB1,ENSG00000170476,0.627559478865089
 TRAPPC6B,ENSG00000182400,-0.0390461738336546
 HLA-DQB1,ENSG00000179344,0.386302591450759
 HLA-DQB2,ENSG00000232629,1.46504333634683
 CDK7,ENSG00000134058,-0.0576878567791147
 FOXS1,ENSG00000179772,-0.221599859881388
 AC008060.7,ENSG00000218672,-0.702714269034455
 LPAR2,ENSG00000064547,-0.0248328278506377
 HAPLN4,ENSG00000187664,2.02720980408166
 THSD1,ENSG00000136114,0.297729340759061
 CAMKK2,ENSG00000110931,-0.192190293636966
 CAMKK1,ENSG00000004660,0.795116006632808
 CHST1,ENSG00000175264,-0.186344863663971
 CHMP3,ENSG00000115561,-0.150822220114749
 RPL36AL,ENSG00000165502,0.0870221679348689
 CHMP7,ENSG00000147457,-0.120361578100046
 CHMP6,ENSG00000176108,0.0382272576901342
 CHMP5,ENSG00000086065,-0.0683259503251646
 OR52N4,ENSG00000181074,0.0791350360837299
 OR52N2,ENSG00000180988,-0.682157407201093
 LY6G6C,ENSG00000204421,2.16868091485533
 LY6G6D,ENSG00000244355,2.33636614912729
 LY6G6E,ENSG00000255552,-0.332081303169592
 LY6G6F,ENSG00000204424,0.763945086286833
 HOXA10,ENSG00000253293,4.27004355878872
 GALNTL5,ENSG00000106648,0.0318607656483068
 GALNTL6,ENSG00000174473,3.00400916291354
 SPECC1,ENSG00000128487,-1.1975299455141
 BCL2A1,ENSG00000140379,-0.190871870889371
 TDG,ENSG00000139372,0.0725852862752326
 HN1,ENSG00000189159,-0.218467553600582
 ENTPD5,ENSG00000187097,-0.0423897488356858
 TBX2,ENSG00000121068,0.277456427485694
 LRRC27,ENSG00000148814,-0.0411870460975284
 LRRC26,ENSG00000184709,-0.691267113576309
 KIAA1524,ENSG00000163507,-0.00230561086542261
 KIAA1522,ENSG00000162522,-0.537133857468556
 MPDU1,ENSG00000129255,0.0783205557273365
 LRRC28,ENSG00000168904,-0.0204187426636487
 GCNT4,ENSG00000176928,0.238309370521832
 GCNT6,ENSG00000205318,-1.33604965858081
 GCNT3,ENSG00000140297,2.53959042386264
 GCNT2,ENSG00000111846,-1.14242616035335
 TBX3,ENSG00000135111,1.76794274911858
 LPCAT2,ENSG00000087253,-0.0406080667360494
 LPCAT3,ENSG00000111684,-0.351465251899798
 LPCAT1,ENSG00000153395,-0.0063362922449718
 TAGLN,ENSG00000149591,0.108729449057067
 CCDC178,ENSG00000166960,1.42355192597476
 CCDC179,ENSG00000255359,0.101235251643063
 CCDC170,ENSG00000120262,0.65963975734574
 CCDC171,ENSG00000164989,-0.235300551095591
 CCDC172,ENSG00000182645,0.0689489855802399
 CCDC173,ENSG00000154479,-0.229266573975082
 CCDC174,ENSG00000154781,0.0846354480377322
 CCDC175,ENSG00000151838,0.0158097126736301
 CCDC176,ENSG00000119636,-0.279263276111121
 CCDC177,ENSG00000267909,0.398130583192186
 PDK1,ENSG00000152256,-0.0457282460567778
 PDK4,ENSG00000004799,-0.510581482122167
 LNPEP,ENSG00000113441,-0.167424239173261
 ALPI,ENSG00000163295,-0.0914590089317955
 SEC61A1,ENSG00000058262,0.446795832723448
 SEC61A2,ENSG00000065665,0.326734873340054
 ALPL,ENSG00000162551,-0.271190553381868
 PECR,ENSG00000115425,0.09202147182679
 SNAPC5,ENSG00000174446,-0.161393200900993
 SNAPC4,ENSG00000165684,-0.0688458747240569
 DDIT3,ENSG00000175197,0.10755711840906
 DDIT4,ENSG00000168209,0.0347922981773086
 RIIAD1,ENSG00000178796,-0.762408386399572
 GOLGA8T,ENSG00000261247,0.392867179001786
 GOLGA8Q,ENSG00000178115,0.245931875918306
 GOLGA8S,ENSG00000261739,-0.669568225438953
 GOLGA8R,ENSG00000186399,0.00713770652621833
 GOLGA8M,ENSG00000188626,0.408279230426967
 GOLGA8O,ENSG00000206127,-1.11139439396522
 GOLGA8N,ENSG00000232653,0.429627998546974
 GOLGA8H,ENSG00000261794,-0.384478643045555
 GOLGA8K,ENSG00000249931,0.745288680239806
 GOLGA8J,ENSG00000179938,-0.149808538288802
 GOLGA8G,ENSG00000183629,0.115411997668659
 GOLGA8A,ENSG00000175265,-0.0824271472692347
 GOLGA8B,ENSG00000215252,-0.527086627536388
 PTPMT1,ENSG00000110536,-0.11795930935413
 FTCDNL1,ENSG00000226124,0.536551209995593
 VMO1,ENSG00000182853,-0.0906697753782105
 ATP5C1,ENSG00000165629,-0.302960471375933
 ESRRG,ENSG00000196482,-0.72902442750675
 NPC2,ENSG00000119655,0.623424723458183
 NPC1,ENSG00000141458,-0.143230321061734
 C3orf58,ENSG00000181744,0.134986449688479
 RAB3GAP2,ENSG00000118873,-0.0565719410482418
 BHLHA15,ENSG00000180535,0.232700865612818
 RAB3GAP1,ENSG00000115839,0.0631488336832138
 C3orf52,ENSG00000114529,-0.108081038196432
 C3orf55,ENSG00000174899,1.64171803778907
 C3orf56,ENSG00000214324,-0.188078685564108
 DAG1,ENSG00000173402,-0.395832254321234
 ETHE1,ENSG00000105755,0.0549707036186935
 SGSM3,ENSG00000100359,-0.00247180780977794
 KDM1A,ENSG00000004487,-0.0401767397652116
 KDM1B,ENSG00000165097,0.0558206012049874
 SLC36A2,ENSG00000186335,1.05080345570964
 AC012313.1,ENSG00000269855,1.99694362686361
 FCER1G,ENSG00000158869,-0.562732809379037
 BTG4,ENSG00000137707,0.307145931968204
 FCER1A,ENSG00000179639,-0.0653386882640663
 BTG2,ENSG00000159388,-0.313983789489308
 SOSTDC1,ENSG00000171243,0.295508019297929
 SRD5A3,ENSG00000128039,-0.149590598817788
 SRD5A1,ENSG00000145545,0.321255343719162
 ZFP14,ENSG00000142065,0.103045162722361
 ESRRB,ENSG00000119715,0.461457630371812
 SEC11C,ENSG00000166562,-0.754581699730972
 GGA1,ENSG00000100083,-0.151509352340441
 GGA3,ENSG00000125447,0.0882462833208127
 GGA2,ENSG00000103365,0.044605256854548
 FHOD1,ENSG00000135723,-0.309546973946526
 FHOD3,ENSG00000134775,-0.883085664733881
 C21orf59,ENSG00000159079,0.00867368065168679
 C4orf6,ENSG00000082929,-1.34626879088128
 GJC2,ENSG00000198835,0.468345239639246
 C4orf3,ENSG00000164096,0.24026009798279
 GJC1,ENSG00000182963,1.00501138095691
 PSMB9,ENSG00000240065,0.314986157014282
 PSMB8,ENSG00000204264,0.338333011446442
 PSMB7,ENSG00000136930,-0.0751923651658958
 PSMB6,ENSG00000142507,-0.228391603722253
 PSMB5,ENSG00000100804,-0.0204544277714371
 PSMB4,ENSG00000159377,-0.0225994920326091
 PSMB2,ENSG00000126067,-0.132461405055001
 LMBR1L,ENSG00000139636,0.118387055991664
 LTN1,ENSG00000198862,0.0123251239906438
 TRIML2,ENSG00000179046,-0.0340399560672552
 C9orf141,ENSG00000198454,0.710828804255551
 C9orf142,ENSG00000148362,0.0501865793728397
 TRIML1,ENSG00000184108,0.164341045715603
 NACC2,ENSG00000148411,-0.458516583562781
 VPS13D,ENSG00000048707,-0.115056489984256
 NACC1,ENSG00000160877,-0.485306176945082
 VPS13A,ENSG00000197969,-0.296383997693446
 SH3KBP1,ENSG00000147010,0.549629193432015
 VPS13B,ENSG00000132549,0.144688584262115
 BEX5,ENSG00000184515,-0.694398941864663
 BEX4,ENSG00000102409,-0.17997171401186
 BEX2,ENSG00000133134,-1.21684561873057
 BEX1,ENSG00000133169,-1.1484425525623
 TSR2,ENSG00000158526,-0.00836400527212878
 TMEM160,ENSG00000130748,0.00505932255319435
 TMEM163,ENSG00000152128,-2.34758978565606
 TMEM165,ENSG00000134851,0.165004114906574
 TMEM164,ENSG00000157600,-0.366204432012328
 TMEM169,ENSG00000163449,-1.3007010879163
 TMEM168,ENSG00000146802,0.19431922683908
 EVI2B,ENSG00000185862,-0.341785895205034
 FOXN1,ENSG00000109101,3.13672626472238
 FOXN2,ENSG00000170802,-0.380150279064688
 FOXN3,ENSG00000053254,-0.033460063298447
 NICN1,ENSG00000145029,0.0796281802580344
 COL14A1,ENSG00000187955,1.88160811043993
 TAP1,ENSG00000168394,0.121969744817879
 TAP2,ENSG00000204267,0.0273049060962593
 SNAP91,ENSG00000065609,-1.70791575773215
 C11orf35,ENSG00000185522,0.0225894266380839
 C11orf34,ENSG00000188771,0.203868328200601
 C11orf31,ENSG00000211450,0.0129714200174959
 C11orf30,ENSG00000158636,0.0738195579504081
 AC140481.2,ENSG00000183292,0.610866199736789
 MACROD2,ENSG00000172264,0.644613176183908
 MACROD1,ENSG00000133315,-0.0846588585420385
 SEP15,ENSG00000183291,0.116787168789582
 KRR1,ENSG00000111615,-0.0929796408170802
 FAM64A,ENSG00000129195,0.553949773567667
 FBXO18,ENSG00000134452,-0.0196579813075009
 HIST2H3PS2,ENSG00000203818,-2.01296416157394
 C8orf49,ENSG00000255394,-1.3605309618019
 C8orf48,ENSG00000164743,-0.85376561373618
 C8orf47,ENSG00000177459,-0.65079820204201
 C8orf46,ENSG00000169085,-0.51536101367192
 C8orf44,ENSG00000213865,0.136098618318107
 TP53I3,ENSG00000115129,0.899418787808521
 MB,ENSG00000198125,-0.317770823934019
 SLC18A3,ENSG00000187714,-0.709490723406178
 SLC18A2,ENSG00000165646,2.27723240093913
 SLC18A1,ENSG00000036565,1.04116165670841
 RALBP1,ENSG00000017797,-0.25640594366721
 ZNF831,ENSG00000124203,-0.015827069705971
 ZNF830,ENSG00000198783,-0.192216277679619
 ZNF835,ENSG00000127903,-0.48306130955431
 ZNF837,ENSG00000152475,0.063457284720203
 ZNF836,ENSG00000196267,0.0727118814980444
 ZNF839,ENSG00000022976,-0.241447142760745
 LRIF1,ENSG00000121931,-0.646268520574059
 PHAX,ENSG00000164902,-0.262517412965754
 ZNF573,ENSG00000189144,0.0131669182405471
 TSPY8,ENSG00000229549,0.128528170271755
 SBSPON,ENSG00000164764,-0.456716619122834
 ZPBP,ENSG00000042813,-1.17739684486234
 TSPY1,ENSG00000258992,0.0188624322521776
 BEGAIN,ENSG00000183092,-1.04532171480941
 SLC17A8,ENSG00000179520,-0.060356662660538
 RAB33B,ENSG00000172007,-0.0607771102363551
 SLC17A4,ENSG00000146039,-0.397042590300067
 SLC17A5,ENSG00000119899,-0.0977560925494164
 SLC17A6,ENSG00000091664,-0.408022136026677
 SLC17A7,ENSG00000104888,-0.00839049855978773
 SLC17A1,ENSG00000124568,0.738269575172474
 SLC17A2,ENSG00000112337,0.250380473528804
 SLC17A3,ENSG00000124564,0.0586488741801243
 C16orf59,ENSG00000162062,0.0373051305198578
 SETDB2,ENSG00000136169,-0.225313404969389
 C16orf52,ENSG00000185716,0.242723644704439
 AP5B1,ENSG00000254470,-0.184043425409818
 CHMP4A,ENSG00000254505,0.0253108886154924
 CHMP4B,ENSG00000101421,-0.151826792017711
 CHMP4C,ENSG00000164695,0.998513769610838
 COBLL1,ENSG00000082438,-0.112723979520409
 RAB7L1,ENSG00000117280,-0.510021129087779
 TMEM255B,ENSG00000184497,0.812846772044705
 TMEM255A,ENSG00000125355,1.64946401021215
 ST5,ENSG00000166444,0.274633822990646
 ST7,ENSG00000004866,0.00238885060298904
 ZNF304,ENSG00000131845,-0.734624212210377
 STH,ENSG00000256762,-0.894116597991366
 ZNF302,ENSG00000089335,0.0185474026774334
 ZNF300,ENSG00000145908,0.0906282560093573
 STS,ENSG00000101846,-0.0968093881993484
 HOXB13,ENSG00000159184,5.80024980682767
 IFT81,ENSG00000122970,0.212310831744398
 FBXO17,ENSG00000269190,0.419195534493337
 TOMM34,ENSG00000025772,-0.544930723605337
 PPP3CA,ENSG00000138814,0.078758634677857
 PPP3CB,ENSG00000107758,-0.223370579980095
 PPP3CC,ENSG00000120910,0.122211746082308
 LIF,ENSG00000128342,-0.083286404899861
 GPATCH8,ENSG00000186566,-0.112374173361344
 IFT88,ENSG00000032742,0.0533988455734815
 RPL18,ENSG00000063177,0.158020306848591
 ADRA2A,ENSG00000150594,1.96463283829525
 ADRA2C,ENSG00000184160,1.69771164470772
 TEX26,ENSG00000175664,-0.726946268027131
 TEX22,ENSG00000226174,-0.159825721390995
 TEX29,ENSG00000153495,0.266213771066644
 SYT8,ENSG00000149043,-1.07014082522562
 SYT9,ENSG00000170743,0.935771322836719
 MTCH2,ENSG00000109919,-0.327067775766684
 MTCH1,ENSG00000137409,0.201158392097656
 SYT1,ENSG00000067715,0.721034641648212
 SYT2,ENSG00000143858,-0.475791702501702
 SYT3,ENSG00000213023,0.0414609120033691
 SYT4,ENSG00000132872,-0.932311080103922
 SYT5,ENSG00000129990,-0.571361835894112
 SYT6,ENSG00000134207,-2.75528145643924
 SYT7,ENSG00000011347,-0.41909084354629
 FUBP1,ENSG00000162613,0.0693820477447156
 SCHIP1,ENSG00000151967,-0.115569250838664
 MARCO,ENSG00000019169,-1.69701916692269
 SAP30,ENSG00000164105,0.10694555958996
 NBL1,ENSG00000158747,0.904022302361381
 DRC1,ENSG00000157856,-0.260474628422753
 C1orf53,ENSG00000203724,-0.187979774370892
 C1orf52,ENSG00000162642,-0.0152508443972002
 C1orf51,ENSG00000159208,-0.0126312392301094
 C1orf50,ENSG00000164008,0.0356163583969276
 C1orf56,ENSG00000143443,0.265514364590889
 C1orf54,ENSG00000118292,0.488870002477322
 MARC1,ENSG00000186205,-0.223805419276613
 MARC2,ENSG00000117791,-8.61497059202836e-05
 ATG4B,ENSG00000168397,0.0303198091935794
 CSRP2BP,ENSG00000149474,-0.0909090124428956
 SMPD4,ENSG00000136699,0.0952425735090371
 SMPD1,ENSG00000166311,0.162702017070583
 SMPD3,ENSG00000103056,-0.345346791277975
 SMPD2,ENSG00000135587,0.220260496222681
 BRIP1,ENSG00000136492,-0.415149583781186
 PDE11A,ENSG00000128655,0.590371941697201
 TTC28,ENSG00000100154,0.0708707014433731
 TTC29,ENSG00000137473,0.948697712003087
 TTC24,ENSG00000187862,0.484491899888617
 TTC25,ENSG00000204815,-0.516815398927119
 TTC26,ENSG00000105948,-0.0360013776610472
 TTC27,ENSG00000018699,-0.108343428746025
 PATL2,ENSG00000229474,0.170170853494509
 TTC22,ENSG00000006555,2.36180091817265
 PATL1,ENSG00000166889,0.1118143507503
 ENO1,ENSG00000074800,-0.340895369988743
 NPY2R,ENSG00000185149,-2.16958988912823
 ENO3,ENSG00000108515,0.219248777862804
 ENO4,ENSG00000188316,0.106004078809403
 RP11-171N4.2,ENSG00000251283,0.878429263588161
 OBSCN,ENSG00000154358,0.369147896145297
 SRRD,ENSG00000100104,-0.229417848934585
 MCL1,ENSG00000143384,-0.358687431557976
 SORBS1,ENSG00000095637,-0.629607753828729
 SORBS3,ENSG00000120896,0.720470764340819
 SORBS2,ENSG00000154556,0.1984134726601
 ODC1,ENSG00000115758,0.15786501496453
 IL18RAP,ENSG00000115607,0.560355454585966
 EOMES,ENSG00000163508,0.506577462941782
 CGB1,ENSG00000267631,0.165939034453756
 CGB2,ENSG00000104818,0.37584034158151
 CFP,ENSG00000126759,-1.02644175310263
 FKBP14,ENSG00000106080,0.0400974971849718
 FKBP15,ENSG00000119321,0.0623546480951785
 UBE2J1,ENSG00000198833,-0.109143622564088
 UBE2J2,ENSG00000160087,-0.0363231665479214
 FKBP11,ENSG00000134285,0.902744758706675
 FBXO10,ENSG00000147912,0.16724464034476
 FBXO11,ENSG00000138081,-0.177418734977091
 FBXO16,ENSG00000214050,-0.491683049707986
 FBXO15,ENSG00000141665,-0.590122243421747
 SFTA3,ENSG00000229415,-0.901540647481057
 SFTA2,ENSG00000196260,2.67388846452307
 CNGB1,ENSG00000070729,-1.00528329409028
 CNGB3,ENSG00000170289,-0.0955931435210429
 PLA2G6,ENSG00000184381,0.0589370439491379
 PLA2G7,ENSG00000146070,-1.08322806280308
 PLA2G5,ENSG00000127472,-3.8122130116247
 PLA2G3,ENSG00000100078,2.03166051794905
 GDPGP1,ENSG00000183208,-1.0491917353516
 CCDC77,ENSG00000120647,-0.048377605996442
 KRTAP1-3,ENSG00000221880,-0.37250087509475
 CCDC73,ENSG00000186714,-1.50238351359748
 CCDC70,ENSG00000123171,0.206171397353638
 CCDC71,ENSG00000177352,-0.0610632734885394
 CCDC78,ENSG00000162004,-0.0660653623520815
 CCDC79,ENSG00000249961,-0.839789740447606
 HIST3H2BB,ENSG00000196890,1.71492312420137
 GHITM,ENSG00000165678,-0.314618470945277
 FKBP1B,ENSG00000119782,-0.132066397413202
 FKBP1C,ENSG00000198225,-0.729903897823292
 FKBP1A,ENSG00000088832,-0.185864861355892
 MAP10,ENSG00000212916,-0.174445556835907
 LGALS9B,ENSG00000170298,2.09072115423636
 UNC50,ENSG00000115446,0.0643430594272607
 NKAIN3,ENSG00000185942,1.06442592071598
 NKAIN2,ENSG00000188580,-0.56579012339538
 NKAIN1,ENSG00000084628,0.544330609858466
 MAP1A,ENSG00000166963,-0.197005230106551
 MAP1B,ENSG00000131711,-0.108160521859832
 IGSF9B,ENSG00000080854,-0.117716059561911
 UNC5B,ENSG00000107731,0.426581718085872
 UNC5C,ENSG00000182168,1.10060034096714
 VGF,ENSG00000128564,-1.43434549705707
 UNC5A,ENSG00000113763,-0.631102366852322
 UNC5D,ENSG00000156687,-0.0152755492841084
 RP11-796G6.2,ENSG00000258512,-0.54191717101737
 MAP1S,ENSG00000130479,-0.328998498538035
 CCP110,ENSG00000103540,-0.00227187567880313
 RPL18A,ENSG00000105640,0.193188295813708
 CEND1,ENSG00000184524,0.0949280118172226
 CLEC18B,ENSG00000140839,1.1719530261075
 SDR42E2,ENSG00000183921,-0.0846676114156396
 SDR42E1,ENSG00000184860,-0.0785759140430945
 ALOX12B,ENSG00000179477,4.7215873731116
 EPB41L1,ENSG00000088367,-0.237967603884843
 PPCDC,ENSG00000138621,-0.0100024359707076
 EPB41L3,ENSG00000082397,-0.167469538007367
 EPB41L2,ENSG00000079819,-0.129509952568807
 EPB41L5,ENSG00000115109,-0.126458510071227
 ACSS3,ENSG00000111058,1.49552600095204
 ACSS2,ENSG00000131069,-0.224432572222549
 ACSS1,ENSG00000154930,-0.3404678445727
 KIDINS220,ENSG00000134313,0.121533637649725
 RUNDC3A,ENSG00000108309,-1.6111784117656
 DFNA5,ENSG00000105928,0.220787399872772
 MAGEH1,ENSG00000187601,0.230106959409188
 WNT3,ENSG00000108379,0.0593595807277065
 WNT2,ENSG00000105989,-0.60447630139784
 WNT1,ENSG00000125084,-0.56488286001933
 LRRN4,ENSG00000125872,-0.680110190944031
 AGXT,ENSG00000172482,-1.07636379141105
 LRRN2,ENSG00000170382,-0.382604769066524
 LRRN1,ENSG00000175928,-0.726720124477734
 WNT4,ENSG00000162552,0.546315106666245
 CCM2L,ENSG00000101331,0.269079159307581
 AAGAB,ENSG00000103591,-0.170481469995704
 RNF175,ENSG00000145428,-0.0943861359930484
 RNF170,ENSG00000120925,-0.00121043579213736
 FGGY,ENSG00000172456,0.0352603216671717
 PCNA,ENSG00000132646,-0.102893044208234
 ZBTB7A,ENSG00000178951,-0.00383174572644277
 ZBTB7C,ENSG00000184828,0.331648652757697
 ZBTB7B,ENSG00000160685,0.0879515561479821
 PCNP,ENSG00000081154,-0.105548058691926
 PCNT,ENSG00000160299,0.0220666414615096
 PCNX,ENSG00000100731,-0.257410805227722
 UTY,ENSG00000183878,-2.58197715004956
 PACRG,ENSG00000112530,-0.0995512999312141
 TOP3A,ENSG00000177302,-0.0108523065808743
 DNPH1,ENSG00000112667,-0.178515905960371
 TOP3B,ENSG00000100038,0.222592422588627
 UFD1L,ENSG00000070010,-0.130376413582734
 ILF3,ENSG00000129351,-0.00597382944724503
 ILF2,ENSG00000143621,-0.158974484934105
 BOK,ENSG00000176720,-0.155307050568718
 BOC,ENSG00000144857,0.397824432677992
 DENND2C,ENSG00000175984,0.560637931712092
 DENND2A,ENSG00000146966,0.294996713548709
 DENND2D,ENSG00000162777,0.327716935296751
 GAGE1,ENSG00000205777,-0.0976197590992138
 PPT1,ENSG00000131238,-0.171608950918595
 PPT2,ENSG00000221988,-0.062874959137971
 INPP4B,ENSG00000109452,0.734295939554685
 INPP4A,ENSG00000040933,-0.213900654768203
 IGSF1,ENSG00000147255,0.958585126680562
 SAFB,ENSG00000160633,0.0335012575784285
 TRNP1,ENSG00000253368,-0.345742675610932
 DEFB123,ENSG00000180424,0.540748570700272
 PPP1R26,ENSG00000196422,-0.17280539664171
 PPP1R27,ENSG00000182676,1.46753470384326
 PPP1R21,ENSG00000162869,-0.403976904825271
 NGLY1,ENSG00000151092,-0.174681066776061
 LMX1A,ENSG00000162761,1.26590132777091
 ZCCHC24,ENSG00000165424,0.0162107811925784
 LMX1B,ENSG00000136944,-3.46526756430986
