 gene    name , gene    ENS ,Uterus
 KRTAP2-4,ENSG00000213417,0.369684972859837
 ITGA7,ENSG00000135424,0.251178207254808
 VMP1,ENSG00000062716,-0.258123792062074
 NR1D1,ENSG00000126368,0.174819643294792
 NR1D2,ENSG00000174738,-0.155941604954419
 OGFR,ENSG00000060491,-0.146377576664711
 PTCH2,ENSG00000117425,0.113399476480717
 PTCH1,ENSG00000185920,-0.770680812996952
 TIMM44,ENSG00000104980,0.142058605790139
 RAD9B,ENSG00000151164,-0.804049322578355
 RAD9A,ENSG00000172613,0.0542295953039441
 ERGIC2,ENSG00000087502,-0.166227392079425
 ERGIC3,ENSG00000125991,0.115397047617651
 ERGIC1,ENSG00000113719,0.0901178785949377
 B3GAT3,ENSG00000149541,0.158663308351094
 B3GAT2,ENSG00000112309,0.250727320564346
 B3GAT1,ENSG00000109956,-1.15293245179563
 CALM2,ENSG00000143933,-0.270575650236281
 TTC30A,ENSG00000197557,0.265345706330487
 TTC30B,ENSG00000196659,0.314493661334785
 SPG20,ENSG00000133104,0.0925201247214205
 GSDMA,ENSG00000167914,1.48017935724843
 GSDMB,ENSG00000073605,-0.312738140740119
 GSDMC,ENSG00000147697,0.450229551801408
 GSDMD,ENSG00000104518,0.323669364043426
 FBXL13,ENSG00000161040,-0.0720620813040339
 UPK1B,ENSG00000114638,-0.450641640563425
 DLGAP2,ENSG00000198010,-1.82323853428088
 DLGAP3,ENSG00000116544,-0.269259740269384
 DLGAP1,ENSG00000170579,-1.08742627172689
 DLGAP4,ENSG00000080845,-0.0526102015118734
 DLGAP5,ENSG00000126787,-0.949680744141679
 KB-1507C5.2,ENSG00000253320,0.0523579094316524
 OIP5,ENSG00000104147,-0.374495165821548
 FBXL19,ENSG00000099364,0.358965467206033
 LRRFIP1,ENSG00000124831,0.354318703691554
 PTPN18,ENSG00000072135,-0.0527825647066813
 PTPN13,ENSG00000163629,-0.0184523622134627
 PTPN12,ENSG00000127947,-0.0476923865896758
 PTPN11,ENSG00000179295,-0.0704817155687092
 PTPN14,ENSG00000152104,0.405822463209009
 LYAR,ENSG00000145220,0.0190586606146761
 SDK2,ENSG00000069188,-1.01614388687116
 TFIP11,ENSG00000100109,-0.179815507524277
 C2orf81,ENSG00000159239,0.775218173694615
 C2orf80,ENSG00000188674,-0.975474213667396
 DMRTB1,ENSG00000143006,-0.477703104724642
 C2orf82,ENSG00000182600,0.118164220497279
 C2orf88,ENSG00000187699,-0.303124366284237
 CDK1,ENSG00000170312,0.0888996485255764
 MZB1,ENSG00000170476,0.155408126609507
 TRAPPC6B,ENSG00000182400,-0.187634283659265
 HLA-DQB1,ENSG00000179344,0.629046824149507
 HLA-DQB2,ENSG00000232629,0.926312469296485
 CDK7,ENSG00000134058,-0.0898361490555413
 FOXS1,ENSG00000179772,0.833712228889432
 AC008060.7,ENSG00000218672,0.459269883654023
 LPAR2,ENSG00000064547,-0.524073513468809
 HAPLN4,ENSG00000187664,0.993873991137138
 THSD1,ENSG00000136114,0.646547994352492
 CAMKK2,ENSG00000110931,-0.358645747692504
 CAMKK1,ENSG00000004660,0.684961870440507
 CHST1,ENSG00000175264,-0.236471821828572
 CHMP3,ENSG00000115561,-0.264917275893692
 RPL36AL,ENSG00000165502,-0.175127985337933
 CHMP7,ENSG00000147457,0.0175461893719452
 CHMP6,ENSG00000176108,0.271256555082263
 CHMP5,ENSG00000086065,-0.316079445692329
 OR52N4,ENSG00000181074,-0.360565467745528
 OR52N2,ENSG00000180988,-0.995226987546753
 LY6G6C,ENSG00000204421,-0.00157998610023143
 LY6G6D,ENSG00000244355,-0.605701522370578
 LY6G6E,ENSG00000255552,-0.700608395032213
 LY6G6F,ENSG00000204424,-1.00910895751936
 HOXA10,ENSG00000253293,6.94653232815352
 GALNTL5,ENSG00000106648,-0.761497040494845
 GALNTL6,ENSG00000174473,-1.15310676410281
 SPECC1,ENSG00000128487,-0.0135413158335786
 BCL2A1,ENSG00000140379,-0.0963671669294448
 TDG,ENSG00000139372,0.184847862354955
 HN1,ENSG00000189159,-0.371199758415221
 ENTPD5,ENSG00000187097,-0.0691735932968248
 TBX2,ENSG00000121068,1.38013495110443
 LRRC27,ENSG00000148814,0.206356740083602
 LRRC26,ENSG00000184709,-1.06456774913403
 KIAA1524,ENSG00000163507,-0.164728648824902
 KIAA1522,ENSG00000162522,-0.170359908082682
 MPDU1,ENSG00000129255,0.0338434398895085
 LRRC28,ENSG00000168904,-0.119075852600714
 GCNT4,ENSG00000176928,-0.256377477619605
 GCNT6,ENSG00000205318,-0.184592338630856
 GCNT3,ENSG00000140297,-0.721838996819903
 GCNT2,ENSG00000111846,-0.779575286331242
 TBX3,ENSG00000135111,1.20796025834993
 LPCAT2,ENSG00000087253,0.995850555969314
 LPCAT3,ENSG00000111684,-0.209077656012973
 LPCAT1,ENSG00000153395,0.119996992461778
 TAGLN,ENSG00000149591,2.11566071773812
 CCDC178,ENSG00000166960,-0.890275746651329
 CCDC179,ENSG00000255359,0.576704145355507
 CCDC170,ENSG00000120262,0.367782639646186
 CCDC171,ENSG00000164989,2.61758265793311
 CCDC172,ENSG00000182645,-0.326588508664251
 CCDC173,ENSG00000154479,0.268126635599599
 CCDC174,ENSG00000154781,0.135594094108291
 CCDC175,ENSG00000151838,-0.00426760659470741
 CCDC176,ENSG00000119636,0.0891184471760808
 CCDC177,ENSG00000267909,-1.06118243641286
 PDK1,ENSG00000152256,-0.684725770803287
 PDK4,ENSG00000004799,-1.39757304365119
 LNPEP,ENSG00000113441,-0.364112638551272
 ALPI,ENSG00000163295,1.14481777304604
 SEC61A1,ENSG00000058262,0.384065303383687
 SEC61A2,ENSG00000065665,0.118882266419876
 ALPL,ENSG00000162551,0.428150270701522
 PECR,ENSG00000115425,-0.463658835182464
 SNAPC5,ENSG00000174446,-0.00520656495038649
 SNAPC4,ENSG00000165684,-0.0441947799452722
 DDIT3,ENSG00000175197,-0.69591363549525
 DDIT4,ENSG00000168209,-1.13731185791806
 RIIAD1,ENSG00000178796,0.432550113982059
 GOLGA8T,ENSG00000261247,0.0602217569381392
 GOLGA8Q,ENSG00000178115,0.0861996723794857
 GOLGA8S,ENSG00000261739,-0.568818149901414
 GOLGA8R,ENSG00000186399,-0.51766849232427
 GOLGA8M,ENSG00000188626,-0.425614249671106
 GOLGA8O,ENSG00000206127,-0.855056632718194
 GOLGA8N,ENSG00000232653,-0.103527738705152
 GOLGA8H,ENSG00000261794,-0.150434310690571
 GOLGA8K,ENSG00000249931,-0.534166380187323
 GOLGA8J,ENSG00000179938,-0.364425244550793
 GOLGA8G,ENSG00000183629,-0.878493825373055
 GOLGA8A,ENSG00000175265,0.146579737549791
 GOLGA8B,ENSG00000215252,-0.366528195129555
 PTPMT1,ENSG00000110536,-0.133729028580821
 FTCDNL1,ENSG00000226124,-0.484074356115761
 VMO1,ENSG00000182853,0.454255501558716
 ATP5C1,ENSG00000165629,-0.0580267374627546
 ESRRG,ENSG00000196482,-3.91702567354715
 NPC2,ENSG00000119655,0.334834956748469
 NPC1,ENSG00000141458,-0.0107988326295913
 C3orf58,ENSG00000181744,-0.309409398674244
 RAB3GAP2,ENSG00000118873,-0.194774023536494
 BHLHA15,ENSG00000180535,-1.19999804031468
 RAB3GAP1,ENSG00000115839,-0.0424829635744673
 C3orf52,ENSG00000114529,-1.02851347183442
 C3orf55,ENSG00000174899,-2.26454445611106
 C3orf56,ENSG00000214324,-0.704704256682243
 DAG1,ENSG00000173402,0.0726955705476122
 ETHE1,ENSG00000105755,0.107900347080871
 SGSM3,ENSG00000100359,0.0503800331326824
 KDM1A,ENSG00000004487,0.148261401271682
 KDM1B,ENSG00000165097,-0.115823819042209
 SLC36A2,ENSG00000186335,-1.13854664945878
 AC012313.1,ENSG00000269855,-0.967175830909256
 FCER1G,ENSG00000158869,0.270858730576049
 BTG4,ENSG00000137707,-0.242392811067006
 FCER1A,ENSG00000179639,1.02644587891595
 BTG2,ENSG00000159388,-1.554599980672
 SOSTDC1,ENSG00000171243,-2.9231245298035
 SRD5A3,ENSG00000128039,-0.303911116828273
 SRD5A1,ENSG00000145545,-0.330689428200586
 ZFP14,ENSG00000142065,-0.135033247625
 ESRRB,ENSG00000119715,-0.356054921021623
 SEC11C,ENSG00000166562,-0.157944381105586
 GGA1,ENSG00000100083,0.0915939226962532
 GGA3,ENSG00000125447,-0.0716471730841301
 GGA2,ENSG00000103365,-0.230911256644621
 FHOD1,ENSG00000135723,0.20880979860546
 FHOD3,ENSG00000134775,-2.14996057556577
 C21orf59,ENSG00000159079,0.0176763301827257
 C4orf6,ENSG00000082929,0.254582778103184
 GJC2,ENSG00000198835,1.43078275001811
 C4orf3,ENSG00000164096,-0.0302068997121434
 GJC1,ENSG00000182963,2.20763626409495
 PSMB9,ENSG00000240065,0.38371333332035
 PSMB8,ENSG00000204264,0.46378720978354
 PSMB7,ENSG00000136930,0.0116964256872393
 PSMB6,ENSG00000142507,0.133746510345529
 PSMB5,ENSG00000100804,0.210023979580466
 PSMB4,ENSG00000159377,0.129139089200281
 PSMB2,ENSG00000126067,0.170857425573768
 LMBR1L,ENSG00000139636,0.176565252055997
 LTN1,ENSG00000198862,-0.0587336306223953
 TRIML2,ENSG00000179046,-0.576458228488937
 C9orf141,ENSG00000198454,0.460244173512637
 C9orf142,ENSG00000148362,0.0967054182096465
 TRIML1,ENSG00000184108,0.214893871143545
 NACC2,ENSG00000148411,0.437798111049252
 VPS13D,ENSG00000048707,-0.304197436332961
 NACC1,ENSG00000160877,0.347930296238915
 VPS13A,ENSG00000197969,-0.081508476989418
 SH3KBP1,ENSG00000147010,-0.35354162702388
 VPS13B,ENSG00000132549,0.122126582723475
 BEX5,ENSG00000184515,-0.887200115143107
 BEX4,ENSG00000102409,-0.287986636523158
 BEX2,ENSG00000133134,-0.661996659327087
 BEX1,ENSG00000133169,-0.196824289404042
 TSR2,ENSG00000158526,-0.187008237702226
 TMEM160,ENSG00000130748,0.0515048347645505
 TMEM163,ENSG00000152128,-0.189833835382756
 TMEM165,ENSG00000134851,0.029975131132996
 TMEM164,ENSG00000157600,-0.0823405166079901
 TMEM169,ENSG00000163449,-1.54159828748792
 TMEM168,ENSG00000146802,0.107689223521269
 EVI2B,ENSG00000185862,-0.0625244206316768
 FOXN1,ENSG00000109101,-1.87020674423878
 FOXN2,ENSG00000170802,0.0407266589462773
 FOXN3,ENSG00000053254,-0.614312114311865
 NICN1,ENSG00000145029,0.220334600359641
 COL14A1,ENSG00000187955,0.672420903547938
 TAP1,ENSG00000168394,0.300125715791743
 TAP2,ENSG00000204267,0.322589834271643
 SNAP91,ENSG00000065609,-2.09480575931272
 C11orf35,ENSG00000185522,-0.617887634181004
 C11orf34,ENSG00000188771,0.963254014236773
 C11orf31,ENSG00000211450,-0.0289837303968367
 C11orf30,ENSG00000158636,-0.0431863846156598
 AC140481.2,ENSG00000183292,0.0723453303323037
 MACROD2,ENSG00000172264,1.01746610240713
 MACROD1,ENSG00000133315,-0.186870063723434
 SEP15,ENSG00000183291,0.0211032688385779
 KRR1,ENSG00000111615,-0.0250143311398114
 FAM64A,ENSG00000129195,-1.0093107596146
 FBXO18,ENSG00000134452,0.154112846631695
 HIST2H3PS2,ENSG00000203818,-0.814713186613342
 C8orf49,ENSG00000255394,-1.39566506015641
 C8orf48,ENSG00000164743,-0.50497640163527
 C8orf47,ENSG00000177459,0.384495365822405
 C8orf46,ENSG00000169085,-0.983482979332563
 C8orf44,ENSG00000213865,0.028365582249234
 TP53I3,ENSG00000115129,0.44899776197169
 MB,ENSG00000198125,-2.35422987653234
 SLC18A3,ENSG00000187714,-1.93922751461175
 SLC18A2,ENSG00000165646,0.346289806379488
 SLC18A1,ENSG00000036565,-0.866748126254721
 RALBP1,ENSG00000017797,-0.430341874026036
 ZNF831,ENSG00000124203,-0.519002979693738
 ZNF830,ENSG00000198783,-0.0387142030765927
 ZNF835,ENSG00000127903,0.127951279271103
 ZNF837,ENSG00000152475,0.870234158946993
 ZNF836,ENSG00000196267,-0.159666734117751
 ZNF839,ENSG00000022976,-0.141293099757528
 LRIF1,ENSG00000121931,-0.407451526353046
 PHAX,ENSG00000164902,-0.158363160124278
 ZNF573,ENSG00000189144,0.12643060041945
 TSPY8,ENSG00000229549,0.118986281691066
 SBSPON,ENSG00000164764,-0.524292209772904
 ZPBP,ENSG00000042813,0.878613742310419
 TSPY1,ENSG00000258992,0.0134898621042186
 BEGAIN,ENSG00000183092,-0.808585213863911
 SLC17A8,ENSG00000179520,-0.416296583177786
 RAB33B,ENSG00000172007,-0.354323583631358
 SLC17A4,ENSG00000146039,-0.323321066318646
 SLC17A5,ENSG00000119899,-0.25030704942699
 SLC17A6,ENSG00000091664,0.112484811393257
 SLC17A7,ENSG00000104888,-0.375876845586272
 SLC17A1,ENSG00000124568,-1.03900694432006
 SLC17A2,ENSG00000112337,-0.158610774613836
 SLC17A3,ENSG00000124564,-0.185954120435128
 C16orf59,ENSG00000162062,-0.4298786135868
 SETDB2,ENSG00000136169,-0.288809666771959
 C16orf52,ENSG00000185716,0.037241216238848
 AP5B1,ENSG00000254470,0.465483924400129
 CHMP4A,ENSG00000254505,-0.210191139657401
 CHMP4B,ENSG00000101421,-0.0912797330089588
 CHMP4C,ENSG00000164695,-1.34805484402535
 COBLL1,ENSG00000082438,-0.959414064758607
 RAB7L1,ENSG00000117280,-0.735690372825646
 TMEM255B,ENSG00000184497,1.25567568374737
 TMEM255A,ENSG00000125355,-1.7437989121096
 ST5,ENSG00000166444,1.87793282422314
 ST7,ENSG00000004866,-0.163474152388542
 ZNF304,ENSG00000131845,-0.195808921007406
 STH,ENSG00000256762,-0.576713234513092
 ZNF302,ENSG00000089335,0.00730522629289937
 ZNF300,ENSG00000145908,0.157806980077622
 STS,ENSG00000101846,-0.727994550574919
 HOXB13,ENSG00000159184,-0.652501782934994
 IFT81,ENSG00000122970,0.168587715491226
 FBXO17,ENSG00000269190,0.808236511811232
 TOMM34,ENSG00000025772,-0.0375933395166001
 PPP3CA,ENSG00000138814,-0.781326310274765
 PPP3CB,ENSG00000107758,-0.101665769332097
 PPP3CC,ENSG00000120910,-0.0274445405405034
 LIF,ENSG00000128342,1.39650319275158
 GPATCH8,ENSG00000186566,-0.0130759290908286
 IFT88,ENSG00000032742,0.120919579819497
 RPL18,ENSG00000063177,0.15226196419458
 ADRA2A,ENSG00000150594,0.526901579130923
 ADRA2C,ENSG00000184160,2.39974746490695
 TEX26,ENSG00000175664,-0.981732372651837
 TEX22,ENSG00000226174,-0.120898375345202
 TEX29,ENSG00000153495,-0.189803698003587
 SYT8,ENSG00000149043,-2.69325786230771
 SYT9,ENSG00000170743,0.998176386345673
 MTCH2,ENSG00000109919,0.0727055010063671
 MTCH1,ENSG00000137409,-0.179019974551076
 SYT1,ENSG00000067715,3.13057784589133
 SYT2,ENSG00000143858,0.522525306503959
 SYT3,ENSG00000213023,0.0397226866069393
 SYT4,ENSG00000132872,-2.64739723288037
 SYT5,ENSG00000129990,-0.804135129165022
 SYT6,ENSG00000134207,-2.65596246673424
 SYT7,ENSG00000011347,0.527858842551436
 FUBP1,ENSG00000162613,0.0240602678747506
 SCHIP1,ENSG00000151967,0.311508549913941
 MARCO,ENSG00000019169,-1.9612859506528
 SAP30,ENSG00000164105,-0.45176147126143
 NBL1,ENSG00000158747,0.393491767106072
 DRC1,ENSG00000157856,-2.54596640253819
 C1orf53,ENSG00000203724,-1.35717173993375
 C1orf52,ENSG00000162642,-0.102057547940851
 C1orf51,ENSG00000159208,-0.326582773238703
 C1orf50,ENSG00000164008,-0.379767323905774
 C1orf56,ENSG00000143443,0.277919533864592
 C1orf54,ENSG00000118292,0.373042989605356
 MARC1,ENSG00000186205,-1.6679008929458
 MARC2,ENSG00000117791,-1.05941465098473
 ATG4B,ENSG00000168397,0.0242400107282282
 CSRP2BP,ENSG00000149474,0.0668756397546167
 SMPD4,ENSG00000136699,0.17771083971775
 SMPD1,ENSG00000166311,-0.214178882693113
 SMPD3,ENSG00000103056,-0.581103947370182
 SMPD2,ENSG00000135587,0.127181843693333
 BRIP1,ENSG00000136492,-1.03300966058372
 PDE11A,ENSG00000128655,2.47096733542121
 TTC28,ENSG00000100154,0.444838421432753
 TTC29,ENSG00000137473,-0.0895188986907934
 TTC24,ENSG00000187862,0.943100460404206
 TTC25,ENSG00000204815,0.861287788957593
 TTC26,ENSG00000105948,0.274856244409582
 TTC27,ENSG00000018699,0.0588711473065679
 PATL2,ENSG00000229474,0.192330090554714
 TTC22,ENSG00000006555,0.824137556817517
 PATL1,ENSG00000166889,0.120307300650591
 ENO1,ENSG00000074800,-0.349528882034132
 NPY2R,ENSG00000185149,-2.66683809089254
 ENO3,ENSG00000108515,0.397500331235138
 ENO4,ENSG00000188316,0.0106347835123856
 RP11-171N4.2,ENSG00000251283,0.287598299752292
 OBSCN,ENSG00000154358,-0.574049345727778
 SRRD,ENSG00000100104,0.0736082864112526
 MCL1,ENSG00000143384,-0.442055521296638
 SORBS1,ENSG00000095637,0.243983678292542
 SORBS3,ENSG00000120896,0.400235762581513
 SORBS2,ENSG00000154556,-1.18185862255225
 ODC1,ENSG00000115758,0.419549274062083
 IL18RAP,ENSG00000115607,0.106680368565079
 EOMES,ENSG00000163508,0.467758765057407
 CGB1,ENSG00000267631,-0.151951121022977
 CGB2,ENSG00000104818,-0.265700304686228
 CFP,ENSG00000126759,-1.02618946633598
 FKBP14,ENSG00000106080,0.317475141981727
 FKBP15,ENSG00000119321,-0.0446476768788016
 UBE2J1,ENSG00000198833,0.159223533225378
 UBE2J2,ENSG00000160087,0.182554677436899
 FKBP11,ENSG00000134285,0.427256909073662
 FBXO10,ENSG00000147912,0.316850198485751
 FBXO11,ENSG00000138081,0.29053677459665
 FBXO16,ENSG00000214050,-1.81843072670108
 FBXO15,ENSG00000141665,-0.818039960156595
 SFTA3,ENSG00000229415,-1.23983484068231
 SFTA2,ENSG00000196260,1.86824432420571
 CNGB1,ENSG00000070729,-2.3063704165239
 CNGB3,ENSG00000170289,-0.755477698271022
 PLA2G6,ENSG00000184381,0.102426381325126
 PLA2G7,ENSG00000146070,-2.22330206157115
 PLA2G5,ENSG00000127472,-3.22577094882855
 PLA2G3,ENSG00000100078,-0.996159269811383
 GDPGP1,ENSG00000183208,-0.243101774159324
 CCDC77,ENSG00000120647,-0.206981283998006
 KRTAP1-3,ENSG00000221880,0.115095660613928
 CCDC73,ENSG00000186714,-1.83654212069836
 CCDC70,ENSG00000123171,1.31989578890435
 CCDC71,ENSG00000177352,0.0942680594527231
 CCDC78,ENSG00000162004,0.594481025306788
 CCDC79,ENSG00000249961,0.726437090307574
 HIST3H2BB,ENSG00000196890,-1.23394641251711
 GHITM,ENSG00000165678,-0.322742730988408
 FKBP1B,ENSG00000119782,-0.611396559879237
 FKBP1C,ENSG00000198225,0.439579645062571
 FKBP1A,ENSG00000088832,0.204789464288428
 MAP10,ENSG00000212916,-0.0997103543367335
 LGALS9B,ENSG00000170298,-0.765375482207065
 UNC50,ENSG00000115446,0.0931244224716685
 NKAIN3,ENSG00000185942,-2.74663075156113
 NKAIN2,ENSG00000188580,-0.717548047016358
 NKAIN1,ENSG00000084628,-2.13053744123026
 MAP1A,ENSG00000166963,-0.0330068896569039
 MAP1B,ENSG00000131711,-0.186060492573595
 IGSF9B,ENSG00000080854,0.685977900751189
 UNC5B,ENSG00000107731,1.13049476828233
 UNC5C,ENSG00000182168,-0.32819975875725
 VGF,ENSG00000128564,-1.20799174881276
 UNC5A,ENSG00000113763,0.610491152683017
 UNC5D,ENSG00000156687,2.13543149927143
 RP11-796G6.2,ENSG00000258512,-0.0263702257560317
 MAP1S,ENSG00000130479,0.224484656317888
 CCP110,ENSG00000103540,-0.189345778936413
 RPL18A,ENSG00000105640,-0.0350132594038222
 CEND1,ENSG00000184524,-0.247776097336994
 CLEC18B,ENSG00000140839,-0.953191942312187
 SDR42E2,ENSG00000183921,-0.255688546605573
 SDR42E1,ENSG00000184860,1.35156804118538
 ALOX12B,ENSG00000179477,-1.64484452320203
 EPB41L1,ENSG00000088367,-0.00660901467978628
 PPCDC,ENSG00000138621,0.127526986992154
 EPB41L3,ENSG00000082397,-0.664894870506835
 EPB41L2,ENSG00000079819,-0.3245075006149
 EPB41L5,ENSG00000115109,-0.0125359249933067
 ACSS3,ENSG00000111058,1.07663522075452
 ACSS2,ENSG00000131069,-0.147417891104089
 ACSS1,ENSG00000154930,-0.45020219376181
 KIDINS220,ENSG00000134313,-0.129405735917404
 RUNDC3A,ENSG00000108309,-0.70048085161383
 DFNA5,ENSG00000105928,1.11407814702978
 MAGEH1,ENSG00000187601,0.274203696021223
 WNT3,ENSG00000108379,-0.445057033951032
 WNT2,ENSG00000105989,2.66857044020278
 WNT1,ENSG00000125084,-1.16428237315057
 LRRN4,ENSG00000125872,-0.966387739346384
 AGXT,ENSG00000172482,-0.382310600397182
 LRRN2,ENSG00000170382,0.692058350933693
 LRRN1,ENSG00000175928,-0.93538217756969
 WNT4,ENSG00000162552,1.4246758045593
 CCM2L,ENSG00000101331,1.14664540226835
 AAGAB,ENSG00000103591,0.206733303497265
 RNF175,ENSG00000145428,-2.59655020018316
 RNF170,ENSG00000120925,-0.0246774985783451
 FGGY,ENSG00000172456,-0.0167869278534944
 PCNA,ENSG00000132646,0.15414490067321
 ZBTB7A,ENSG00000178951,0.0286973729457581
 ZBTB7C,ENSG00000184828,-0.836360033962509
 ZBTB7B,ENSG00000160685,-0.273126946366332
 PCNP,ENSG00000081154,-0.288311068083845
 PCNT,ENSG00000160299,-0.202371656056255
 PCNX,ENSG00000100731,-0.286526395617102
 UTY,ENSG00000183878,-2.60413056040653
 PACRG,ENSG00000112530,1.28991101072221
 TOP3A,ENSG00000177302,-0.0141966036145534
 DNPH1,ENSG00000112667,0.400783512987348
 TOP3B,ENSG00000100038,0.0665704321221942
 UFD1L,ENSG00000070010,0.163554781813626
 ILF3,ENSG00000129351,0.216795981101589
 ILF2,ENSG00000143621,0.107096335139479
 BOK,ENSG00000176720,1.20451585317464
 BOC,ENSG00000144857,1.06527678921532
 DENND2C,ENSG00000175984,0.250971025790479
 DENND2A,ENSG00000146966,0.959256036885211
 DENND2D,ENSG00000162777,-0.4478869799597
 GAGE1,ENSG00000205777,0.197002556874705
 PPT1,ENSG00000131238,-0.00518583762965243
 PPT2,ENSG00000221988,-0.0719089254428256
 INPP4B,ENSG00000109452,0.210110698924829
 INPP4A,ENSG00000040933,-0.360329066718529
 IGSF1,ENSG00000147255,-0.398371523424332
 SAFB,ENSG00000160633,0.0186908247797418
 TRNP1,ENSG00000253368,0.580108823701079
 DEFB123,ENSG00000180424,-0.101919251955882
 PPP1R26,ENSG00000196422,0.0156700602190519
 PPP1R27,ENSG00000182676,-0.770574238193102
 PPP1R21,ENSG00000162869,0.267774844247347
 NGLY1,ENSG00000151092,-0.172286660973198
 LMX1A,ENSG00000162761,-0.473789683186116
 ZCCHC24,ENSG00000165424,0.561550844532949
 LMX1B,ENSG00000136944,-4.03940600534059
 MRGPRF,ENSG00000172935,1.80692610635889
