 gene    name , gene    ENS ,Adipose-Visceral(Omentum)
 ERGIC2,ENSG00000087502,0.0904843828617411
 ERGIC3,ENSG00000125991,-0.0388259328429462
 ERGIC1,ENSG00000113719,0.0422334674498632
 B3GAT3,ENSG00000149541,-0.02255471763478
 B3GAT2,ENSG00000112309,-0.568650481617528
 B3GAT1,ENSG00000109956,-1.47637604768434
 CALM2,ENSG00000143933,-0.257758049372494
 TTC30A,ENSG00000197557,-0.146793266315932
 TTC30B,ENSG00000196659,-0.0658915737509294
 SPG20,ENSG00000133104,0.21256127321807
 GSDMA,ENSG00000167914,1.71111349995893
 GSDMB,ENSG00000073605,0.939237428203039
 GSDMC,ENSG00000147697,-1.88035696818783
 GSDMD,ENSG00000104518,0.462638249278894
 FBXL13,ENSG00000161040,0.260962117277505
 UPK1B,ENSG00000114638,8.12091251771604
 DLGAP2,ENSG00000198010,1.48898883752696
 DLGAP3,ENSG00000116544,-0.891103053478018
 DLGAP1,ENSG00000170579,0.0542805432445649
 DLGAP4,ENSG00000080845,-0.257703708354527
 DLGAP5,ENSG00000126787,0.0151712004819343
 KB-1507C5.2,ENSG00000253320,-0.0840529458004235
 OIP5,ENSG00000104147,-0.327992093656742
 FBXL19,ENSG00000099364,-0.300572554871356
 LRRFIP1,ENSG00000124831,0.00960030827255269
 PTPN18,ENSG00000072135,0.250513305608155
 PTPN13,ENSG00000163629,0.784714539752569
 PTPN12,ENSG00000127947,0.333845363442795
 PTPN11,ENSG00000179295,-0.188746082515076
 PTPN14,ENSG00000152104,0.739625279699885
 LYAR,ENSG00000145220,0.127265280196233
 SDK2,ENSG00000069188,-0.941178057608828
 TFIP11,ENSG00000100109,0.0235568186938771
 C2orf81,ENSG00000159239,0.0394097712005124
 C2orf80,ENSG00000188674,-0.987364116059077
 DMRTB1,ENSG00000143006,0.352075574261147
 C2orf82,ENSG00000182600,-1.38030903284248
 C2orf88,ENSG00000187699,-0.490187258768649
 CDK1,ENSG00000170312,0.278777161273665
 MZB1,ENSG00000170476,2.20206634751502
 TRAPPC6B,ENSG00000182400,-0.158939938212185
 HLA-DQB1,ENSG00000179344,-0.0582076386877218
 HLA-DQB2,ENSG00000232629,0.391168964101459
 CDK7,ENSG00000134058,0.0141912457957678
 FOXS1,ENSG00000179772,0.0762888326977958
 AC008060.7,ENSG00000218672,-0.908957006149777
 LPAR2,ENSG00000064547,0.0922599416698425
 HAPLN4,ENSG00000187664,-1.97835534153078
 THSD1,ENSG00000136114,0.455646989177956
 CAMKK2,ENSG00000110931,-0.261693269311016
 CAMKK1,ENSG00000004660,-0.394978495197897
 CHST1,ENSG00000175264,-0.612379463253041
 CHMP3,ENSG00000115561,-0.094168702625389
 RPL36AL,ENSG00000165502,0.00127455377212466
 CHMP7,ENSG00000147457,-0.0398796148097676
 CHMP6,ENSG00000176108,-0.244154774242224
 CHMP5,ENSG00000086065,0.10031065986237
 OR52N4,ENSG00000181074,0.333798401076725
 OR52N2,ENSG00000180988,-0.174450274623135
 LY6G6C,ENSG00000204421,0.605110382327008
 LY6G6D,ENSG00000244355,0.382724110169831
 LY6G6E,ENSG00000255552,0.182759295164674
 LY6G6F,ENSG00000204424,-0.666564005167878
 HOXA10,ENSG00000253293,0.298473835736743
 GALNTL5,ENSG00000106648,-1.09594950780382
 GALNTL6,ENSG00000174473,-1.77998334066697
 SPECC1,ENSG00000128487,0.0785149275603329
 BCL2A1,ENSG00000140379,0.416483828926878
 TDG,ENSG00000139372,0.143485964890975
 HN1,ENSG00000189159,-0.227575228112101
 ENTPD5,ENSG00000187097,-0.0567914172024035
 TBX2,ENSG00000121068,0.551902732216943
 LRRC27,ENSG00000148814,-0.10449982400384
 LRRC26,ENSG00000184709,-0.805096771116449
 KIAA1524,ENSG00000163507,-0.354053151582992
 KIAA1522,ENSG00000162522,0.21548075338527
 MPDU1,ENSG00000129255,0.401411772035522
 LRRC28,ENSG00000168904,-0.237261963995548
 GCNT4,ENSG00000176928,0.116597369371619
 GCNT6,ENSG00000205318,0.0144457817091072
 GCNT3,ENSG00000140297,-0.456454689023816
 GCNT2,ENSG00000111846,-0.502204319231153
 TBX3,ENSG00000135111,0.666237608636639
 LPCAT2,ENSG00000087253,-0.104787221979395
 LPCAT3,ENSG00000111684,0.304265763831478
 LPCAT1,ENSG00000153395,-0.03967834012513
 TAGLN,ENSG00000149591,0.181814066058793
 CCDC178,ENSG00000166960,2.21590228963388
 CCDC179,ENSG00000255359,0.0993624401632069
 CCDC170,ENSG00000120262,-0.303376383345362
 CCDC171,ENSG00000164989,-0.568205498229314
 CCDC172,ENSG00000182645,-0.0683774449116673
 CCDC173,ENSG00000154479,0.00358883327918495
 CCDC174,ENSG00000154781,0.0105379789709536
 CCDC175,ENSG00000151838,-0.02774493882069
 CCDC176,ENSG00000119636,-0.134818483298534
 CCDC177,ENSG00000267909,-0.288493070848281
 PDK1,ENSG00000152256,0.367095897101405
 PDK4,ENSG00000004799,1.17451053937478
 LNPEP,ENSG00000113441,0.141127423174077
 ALPI,ENSG00000163295,-0.27870636732036
 SEC61A1,ENSG00000058262,0.165743968345016
 SEC61A2,ENSG00000065665,-0.474847512987484
 ALPL,ENSG00000162551,0.635010420547231
 PECR,ENSG00000115425,0.825435880303742
 SNAPC5,ENSG00000174446,-0.064521883791904
 SNAPC4,ENSG00000165684,-0.273483102207305
 DDIT3,ENSG00000175197,0.0520076419763592
 DDIT4,ENSG00000168209,0.15400563917435
 RIIAD1,ENSG00000178796,-0.811706054508623
 GOLGA8T,ENSG00000261247,0.752526962300738
 GOLGA8Q,ENSG00000178115,0.123868277669304
 GOLGA8S,ENSG00000261739,0.0373246490931575
 GOLGA8R,ENSG00000186399,0.220616790073503
 GOLGA8M,ENSG00000188626,1.15457223534334
 GOLGA8O,ENSG00000206127,0.422626752985554
 GOLGA8N,ENSG00000232653,0.450538932346459
 GOLGA8H,ENSG00000261794,0.881415445242098
 GOLGA8K,ENSG00000249931,0.751469848354959
 GOLGA8J,ENSG00000179938,-0.205445040778416
 GOLGA8G,ENSG00000183629,-0.503596322450741
 GOLGA8A,ENSG00000175265,-0.190621505563856
 GOLGA8B,ENSG00000215252,-0.147664333262242
 PTPMT1,ENSG00000110536,0.278740623050228
 FTCDNL1,ENSG00000226124,0.019328354269364
 VMO1,ENSG00000182853,0.206168654405304
 ATP5C1,ENSG00000165629,-0.14236038203151
 ESRRG,ENSG00000196482,-1.79532501548566
 NPC2,ENSG00000119655,0.24943792167208
 NPC1,ENSG00000141458,-0.211772285660312
 C3orf58,ENSG00000181744,0.194277218819836
 RAB3GAP2,ENSG00000118873,-0.001067449616345
 BHLHA15,ENSG00000180535,-0.537723236594154
 RAB3GAP1,ENSG00000115839,-0.094069424557983
 C3orf52,ENSG00000114529,-0.0234392023548082
 C3orf55,ENSG00000174899,1.12880625843332
 C3orf56,ENSG00000214324,2.30688765277431
 DAG1,ENSG00000173402,-0.103959014522063
 ETHE1,ENSG00000105755,0.0845237816895235
 SGSM3,ENSG00000100359,-0.146787843956117
 KDM1A,ENSG00000004487,-0.0622196661145795
 KDM1B,ENSG00000165097,-0.179474699331874
 SLC36A2,ENSG00000186335,0.48121663532389
 AC012313.1,ENSG00000269855,-0.409706605968239
 FCER1G,ENSG00000158869,0.75255966839854
 BTG4,ENSG00000137707,-0.286986779893504
 FCER1A,ENSG00000179639,0.132464801174486
 BTG2,ENSG00000159388,0.645371745640145
 SOSTDC1,ENSG00000171243,-1.04352802024612
 SRD5A3,ENSG00000128039,0.359572830955701
 SRD5A1,ENSG00000145545,-0.494091806692371
 ZFP14,ENSG00000142065,-0.0525375527419619
 ESRRB,ENSG00000119715,-0.496032242040552
 SEC11C,ENSG00000166562,-0.187531000378302
 GGA1,ENSG00000100083,-0.215473295560281
 GGA3,ENSG00000125447,0.0890235167664015
 GGA2,ENSG00000103365,-0.217157586573507
 FHOD1,ENSG00000135723,0.496126959351741
 FHOD3,ENSG00000134775,-0.984920019874072
 C21orf59,ENSG00000159079,-0.101844997675973
 C4orf6,ENSG00000082929,0.0205948398786602
 GJC2,ENSG00000198835,0.50962632081382
 C4orf3,ENSG00000164096,-0.0811237519898642
 GJC1,ENSG00000182963,0.238568744942439
 PSMB9,ENSG00000240065,0.385237943406646
 PSMB8,ENSG00000204264,0.397426986322131
 PSMB7,ENSG00000136930,-0.142375757153616
 PSMB6,ENSG00000142507,-0.138516355087652
 PSMB5,ENSG00000100804,0.0352453409731513
 PSMB4,ENSG00000159377,-0.129515053750215
 PSMB2,ENSG00000126067,-0.0600533647310575
 LMBR1L,ENSG00000139636,-0.155643523053732
 LTN1,ENSG00000198862,-0.0109367312744996
 TRIML2,ENSG00000179046,0.117659978732818
 C9orf141,ENSG00000198454,0.169896561244443
 C9orf142,ENSG00000148362,-0.160266369132087
 TRIML1,ENSG00000184108,0.709855825699639
 NACC2,ENSG00000148411,-0.308378990555246
 VPS13D,ENSG00000048707,0.0674809052115535
 NACC1,ENSG00000160877,-0.202508715965273
 VPS13A,ENSG00000197969,-0.269345538718152
 SH3KBP1,ENSG00000147010,0.357298946229468
 VPS13B,ENSG00000132549,-0.0977549519831294
 BEX5,ENSG00000184515,-0.758595046432046
 BEX4,ENSG00000102409,-0.354416413823127
 BEX2,ENSG00000133134,-0.361631487894765
 BEX1,ENSG00000133169,-1.56757963185372
 TSR2,ENSG00000158526,-0.283796813247265
 TMEM160,ENSG00000130748,-0.095032413740773
 TMEM163,ENSG00000152128,0.53638183005995
 TMEM165,ENSG00000134851,0.314319389561334
 TMEM164,ENSG00000157600,0.4792172928228
 TMEM169,ENSG00000163449,-0.0048454527719394
 TMEM168,ENSG00000146802,0.150208490019211
 EVI2B,ENSG00000185862,0.462197362278379
 FOXN1,ENSG00000109101,-0.993083140072764
 FOXN2,ENSG00000170802,0.209154834101385
 FOXN3,ENSG00000053254,0.273532344674125
 NICN1,ENSG00000145029,-0.405290974907826
 COL14A1,ENSG00000187955,0.460136109725254
 TAP1,ENSG00000168394,0.181384692581285
 TAP2,ENSG00000204267,0.179246578997054
 SNAP91,ENSG00000065609,-0.342837871195366
 C11orf35,ENSG00000185522,1.06653944723399
 C11orf34,ENSG00000188771,-0.455850487017227
 C11orf31,ENSG00000211450,0.0824824186350017
 C11orf30,ENSG00000158636,-0.00786492865514123
 AC140481.2,ENSG00000183292,0.439699250330129
 MACROD2,ENSG00000172264,-0.033637361999741
 MACROD1,ENSG00000133315,0.0140094831254344
 SEP15,ENSG00000183291,0.305097485917008
 KRR1,ENSG00000111615,0.125293656278087
 FAM64A,ENSG00000129195,-0.110620635081584
 FBXO18,ENSG00000134452,0.0329948044130719
 HIST2H3PS2,ENSG00000203818,0.31376304412703
 C8orf49,ENSG00000255394,-1.15103195843687
 C8orf48,ENSG00000164743,-0.0466332148847669
 C8orf47,ENSG00000177459,1.77401515233296
 C8orf46,ENSG00000169085,-0.406459216348649
 C8orf44,ENSG00000213865,-0.241553186337727
 TP53I3,ENSG00000115129,0.7504063191538
 MB,ENSG00000198125,-1.55496577560925
 SLC18A3,ENSG00000187714,-0.47574676234677
 SLC18A2,ENSG00000165646,-0.136205987026823
 SLC18A1,ENSG00000036565,-1.15994928440221
 RALBP1,ENSG00000017797,0.0618501200592944
 ZNF831,ENSG00000124203,0.894351205317804
 ZNF830,ENSG00000198783,0.114729937765047
 ZNF835,ENSG00000127903,0.442420362587413
 ZNF837,ENSG00000152475,-0.15304904260423
 ZNF836,ENSG00000196267,-0.068021125519602
 ZNF839,ENSG00000022976,-0.0119712705692228
 LRIF1,ENSG00000121931,-0.24576643511926
 PHAX,ENSG00000164902,-0.0141929542352503
 ZNF573,ENSG00000189144,0.0468675938314019
 TSPY8,ENSG00000229549,0.106102625283317
 SBSPON,ENSG00000164764,0.637456632945843
 ZPBP,ENSG00000042813,-0.445170496908591
 TSPY1,ENSG00000258992,0.046526152100149
 BEGAIN,ENSG00000183092,0.203728224466154
 SLC17A8,ENSG00000179520,-1.26873691392124
 RAB33B,ENSG00000172007,0.00290721160093615
 SLC17A4,ENSG00000146039,-0.451847789086626
 SLC17A5,ENSG00000119899,0.110177648469538
 SLC17A6,ENSG00000091664,-0.581843014439393
 SLC17A7,ENSG00000104888,-0.013005974506754
 SLC17A1,ENSG00000124568,0.00558856766131573
 SLC17A2,ENSG00000112337,0.0332178483682076
 SLC17A3,ENSG00000124564,0.515399659203556
 C16orf59,ENSG00000162062,-0.75378733991525
 SETDB2,ENSG00000136169,-0.170150260387938
 C16orf52,ENSG00000185716,0.0538087059449916
 AP5B1,ENSG00000254470,-0.11014343700519
 CHMP4A,ENSG00000254505,-0.0519876657558994
 CHMP4B,ENSG00000101421,-0.20581166194724
 CHMP4C,ENSG00000164695,0.594960967124825
 COBLL1,ENSG00000082438,0.88123725046141
 RAB7L1,ENSG00000117280,-0.284407369308401
 TMEM255B,ENSG00000184497,0.607800862565032
 TMEM255A,ENSG00000125355,1.76218952272716
 ST5,ENSG00000166444,-0.253061475340259
 ST7,ENSG00000004866,0.0850168429765249
 ZNF304,ENSG00000131845,0.112372669701823
 STH,ENSG00000256762,-0.331640439159291
 ZNF302,ENSG00000089335,-0.0503954809485134
 ZNF300,ENSG00000145908,-0.0214909787528793
 STS,ENSG00000101846,0.28109148112179
 HOXB13,ENSG00000159184,-1.94539194380617
 IFT81,ENSG00000122970,-0.218281911157787
 FBXO17,ENSG00000269190,0.48473640485773
 TOMM34,ENSG00000025772,-0.406240367602032
 PPP3CA,ENSG00000138814,-0.0387729163117095
 PPP3CB,ENSG00000107758,-0.0704884164611404
 PPP3CC,ENSG00000120910,0.0426181831500428
 LIF,ENSG00000128342,1.83447872464225
 GPATCH8,ENSG00000186566,-0.126475491390032
 IFT88,ENSG00000032742,-0.0659315508538766
 RPL18,ENSG00000063177,0.0574500646055446
 ADRA2A,ENSG00000150594,1.04793459110991
 ADRA2C,ENSG00000184160,0.39706486686801
 TEX26,ENSG00000175664,0.791206060381287
 TEX22,ENSG00000226174,-0.363635746794706
 TEX29,ENSG00000153495,0.0687705178056577
 SYT8,ENSG00000149043,-1.39100635039729
 SYT9,ENSG00000170743,-1.34663873730516
 MTCH2,ENSG00000109919,-0.0408032996068868
 MTCH1,ENSG00000137409,-0.248675035150763
 SYT1,ENSG00000067715,-0.862247678615654
 SYT2,ENSG00000143858,-0.821633830362501
 SYT3,ENSG00000213023,-1.25611633581829
 SYT4,ENSG00000132872,4.80047830837401
 SYT5,ENSG00000129990,-1.34974873684291
 SYT6,ENSG00000134207,-0.307903017265496
 SYT7,ENSG00000011347,0.0962884707446766
 FUBP1,ENSG00000162613,0.0310208471743828
 SCHIP1,ENSG00000151967,-0.29320627911698
 MARCO,ENSG00000019169,2.12588827301723
 SAP30,ENSG00000164105,0.0650805500601894
 NBL1,ENSG00000158747,0.215607227866179
 DRC1,ENSG00000157856,-1.54814060211703
 C1orf53,ENSG00000203724,-0.04504095326416
 C1orf52,ENSG00000162642,0.0327232941847156
 C1orf51,ENSG00000159208,-0.715711689909094
 C1orf50,ENSG00000164008,-0.0138409410838422
 C1orf56,ENSG00000143443,0.0505290708117797
 C1orf54,ENSG00000118292,0.423110638668824
 MARC1,ENSG00000186205,1.97100037740382
 MARC2,ENSG00000117791,0.537385956185312
 ATG4B,ENSG00000168397,-0.245217062362043
 CSRP2BP,ENSG00000149474,-0.0890905900468431
 SMPD4,ENSG00000136699,-0.177929734683045
 SMPD1,ENSG00000166311,-0.148832006580309
 SMPD3,ENSG00000103056,1.50567695524451
 SMPD2,ENSG00000135587,-0.0474407385322439
 BRIP1,ENSG00000136492,-0.23002356847444
 PDE11A,ENSG00000128655,-0.664756777252712
 TTC28,ENSG00000100154,0.418416015324753
 TTC29,ENSG00000137473,-0.519652459608114
 TTC24,ENSG00000187862,0.308066591681435
 TTC25,ENSG00000204815,-0.617693369536623
 TTC26,ENSG00000105948,0.0533583281339566
 TTC27,ENSG00000018699,0.159271989614059
 PATL2,ENSG00000229474,0.528076251733683
 TTC22,ENSG00000006555,0.602965535027168
 PATL1,ENSG00000166889,0.00667800197056137
 ENO1,ENSG00000074800,-0.166224358845623
 NPY2R,ENSG00000185149,-2.28845589921365
 ENO3,ENSG00000108515,-0.681421205807562
 ENO4,ENSG00000188316,-0.379233921195746
 RP11-171N4.2,ENSG00000251283,-0.0330589313346561
 OBSCN,ENSG00000154358,-0.198292598502309
 SRRD,ENSG00000100104,-0.110801405247257
 MCL1,ENSG00000143384,0.465443065536122
 SORBS1,ENSG00000095637,0.386955334408084
 SORBS3,ENSG00000120896,0.273433950947314
 SORBS2,ENSG00000154556,0.24713504863717
 ODC1,ENSG00000115758,0.21002693514258
 IL18RAP,ENSG00000115607,1.56823590165786
 EOMES,ENSG00000163508,1.42775112009147
 CGB1,ENSG00000267631,0.298457860340094
 CGB2,ENSG00000104818,-0.278722081279422
 CFP,ENSG00000126759,0.462112086768605
 FKBP14,ENSG00000106080,0.15429713701616
 FKBP15,ENSG00000119321,0.0408574327732099
 UBE2J1,ENSG00000198833,0.0773229993509977
 UBE2J2,ENSG00000160087,0.00163660783621095
 FKBP11,ENSG00000134285,0.803066836819124
 FBXO10,ENSG00000147912,-0.0827183623867319
 FBXO11,ENSG00000138081,-0.0295760122902857
 FBXO16,ENSG00000214050,-0.685879560042555
 FBXO15,ENSG00000141665,0.0564656313966881
 SFTA3,ENSG00000229415,-1.41032030186072
 SFTA2,ENSG00000196260,-0.389147277899253
 CNGB1,ENSG00000070729,-0.642402855748441
 CNGB3,ENSG00000170289,0.608935001717493
 PLA2G6,ENSG00000184381,0.223821810543703
 PLA2G7,ENSG00000146070,-0.726062339912827
 PLA2G5,ENSG00000127472,-0.0523192558416421
 PLA2G3,ENSG00000100078,-2.62188244659646
 GDPGP1,ENSG00000183208,0.0336350722417689
 CCDC77,ENSG00000120647,-0.0209868587867325
 KRTAP1-3,ENSG00000221880,0.752173681009483
 CCDC73,ENSG00000186714,-0.204739141315241
 CCDC70,ENSG00000123171,-0.153089337833676
 CCDC71,ENSG00000177352,0.108478449890257
 CCDC78,ENSG00000162004,-0.181290751632101
 CCDC79,ENSG00000249961,-0.177389832829842
 HIST3H2BB,ENSG00000196890,0.329255883591741
 GHITM,ENSG00000165678,-0.102960264677051
 FKBP1B,ENSG00000119782,-0.51899079826275
 FKBP1C,ENSG00000198225,0.0634469814317292
 FKBP1A,ENSG00000088832,0.40240311236185
 MAP10,ENSG00000212916,-0.329510756982076
 LGALS9B,ENSG00000170298,-0.0247518979271103
 UNC50,ENSG00000115446,0.111400731035303
 NKAIN3,ENSG00000185942,-0.549617065967216
 NKAIN2,ENSG00000188580,-0.657443008470499
 NKAIN1,ENSG00000084628,0.00625227214979785
 MAP1A,ENSG00000166963,-1.39999944241965
 MAP1B,ENSG00000131711,-0.0975165047504895
 IGSF9B,ENSG00000080854,-0.289674642044435
 UNC5B,ENSG00000107731,-0.00928840282201565
 UNC5C,ENSG00000182168,0.975892277477375
 VGF,ENSG00000128564,-0.992911780914374
 UNC5A,ENSG00000113763,0.0378778688493198
 UNC5D,ENSG00000156687,-2.31972613063655
 RP11-796G6.2,ENSG00000258512,-0.370795052082148
 MAP1S,ENSG00000130479,0.0715657425507328
 CCP110,ENSG00000103540,-0.256247534616949
 RPL18A,ENSG00000105640,0.179271486440019
 CEND1,ENSG00000184524,-1.96139099387348
 CLEC18B,ENSG00000140839,-0.262472780637864
 SDR42E2,ENSG00000183921,-0.293522272715086
 SDR42E1,ENSG00000184860,1.06605498766992
 ALOX12B,ENSG00000179477,-0.325800122422682
 EPB41L1,ENSG00000088367,-0.161911795246503
 PPCDC,ENSG00000138621,-0.130811789796183
 EPB41L3,ENSG00000082397,0.455006591678492
 EPB41L2,ENSG00000079819,0.378725854735352
 EPB41L5,ENSG00000115109,-0.375467034194743
 ACSS3,ENSG00000111058,0.306909501523561
 ACSS2,ENSG00000131069,0.545877944054769
 ACSS1,ENSG00000154930,-0.403789234259437
 KIDINS220,ENSG00000134313,-0.076301448735123
 RUNDC3A,ENSG00000108309,-1.16870360464029
 DFNA5,ENSG00000105928,0.790443470143921
 MAGEH1,ENSG00000187601,-0.0840381256816818
 WNT3,ENSG00000108379,0.49123937158101
 WNT2,ENSG00000105989,0.131806584473203
 WNT1,ENSG00000125084,0.842140684072108
 LRRN4,ENSG00000125872,6.55651631838618
 AGXT,ENSG00000172482,1.64398799943284
 LRRN2,ENSG00000170382,1.3561838390815
 LRRN1,ENSG00000175928,0.917387980176467
 WNT4,ENSG00000162552,1.34199045765133
 CCM2L,ENSG00000101331,0.8961373096592
 AAGAB,ENSG00000103591,-0.263064853372217
 RNF175,ENSG00000145428,0.581006936810715
 RNF170,ENSG00000120925,-0.0683284312016473
 FGGY,ENSG00000172456,-0.309499144488529
 PCNA,ENSG00000132646,-0.15930862951295
 ZBTB7A,ENSG00000178951,-0.224005859460206
 ZBTB7C,ENSG00000184828,1.36004694017752
 ZBTB7B,ENSG00000160685,0.301641841970679
 PCNP,ENSG00000081154,-0.116890021035974
 PCNT,ENSG00000160299,-0.265830501425913
 PCNX,ENSG00000100731,-0.00866066242412558
 UTY,ENSG00000183878,1.13822351702224
 PACRG,ENSG00000112530,-0.683100032876689
 TOP3A,ENSG00000177302,-0.0318241524861763
 DNPH1,ENSG00000112667,0.21486373261794
 TOP3B,ENSG00000100038,0.0652519475146998
 UFD1L,ENSG00000070010,-0.222650515568646
 ILF3,ENSG00000129351,-0.069591348024383
 ILF2,ENSG00000143621,0.000506355061884057
 BOK,ENSG00000176720,0.969310327770656
 BOC,ENSG00000144857,1.76773887312858
 DENND2C,ENSG00000175984,-0.139797427704125
 DENND2A,ENSG00000146966,0.49929105570113
 DENND2D,ENSG00000162777,0.79246742813879
 GAGE1,ENSG00000205777,-0.126538827848707
 PPT1,ENSG00000131238,-0.0839467793293436
 PPT2,ENSG00000221988,0.118762483813093
 INPP4B,ENSG00000109452,0.290946456783423
 INPP4A,ENSG00000040933,-0.188275779079542
 IGSF1,ENSG00000147255,0.149783965267567
 SAFB,ENSG00000160633,-0.0821215861517311
 TRNP1,ENSG00000253368,0.322117626485455
 DEFB123,ENSG00000180424,0.267585580935329
 PPP1R26,ENSG00000196422,-0.357645674128228
 PPP1R27,ENSG00000182676,-0.745875968505
 PPP1R21,ENSG00000162869,0.0335090413230973
 NGLY1,ENSG00000151092,-0.0307859605389546
 LMX1A,ENSG00000162761,0.751012544361239
 ZCCHC24,ENSG00000165424,0.18763120212924
 LMX1B,ENSG00000136944,-0.290145019351325
