 gene    name , gene    ENS ,Breast-MammaryTissue
 CFH,ENSG00000000971,-0.17116886613331
 CFI,ENSG00000205403,0.484437682025491
 ANKFY1,ENSG00000185722,-0.0989629168555097
 CFB,ENSG00000243649,0.155584664122687
 OPA3,ENSG00000125741,-0.427232170957017
 AAAS,ENSG00000094914,0.118375616537032
 SIDT1,ENSG00000072858,0.932196375706956
 SIDT2,ENSG00000149577,0.042707364333714
 SAGE1,ENSG00000181433,-0.572213984629391
 RP11-89K11.1,ENSG00000259658,0.255199624582747
 AC093802.1,ENSG00000220256,-0.52066700323095
 C4orf19,ENSG00000154274,0.82183898570218
 SLC7A6OS,ENSG00000103061,0.0858575934498375
 C4orf17,ENSG00000138813,-0.40072317262465
 CDH26,ENSG00000124215,0.0591475865043125
 ETV3L,ENSG00000253831,2.84181354630081
 C15orf26,ENSG00000156206,-0.166706738455505
 C15orf27,ENSG00000169758,-0.643367287598083
 ZNF117,ENSG00000152926,0.785965323285576
 ZNF114,ENSG00000178150,0.356236806636513
 ZNF112,ENSG00000062370,-0.217544977580641
 SEZ6L,ENSG00000100095,-2.10226161921921
 ITGA8,ENSG00000077943,-1.04952661345833
 ITGA9,ENSG00000144668,0.210241168457782
 PRKAR2A,ENSG00000114302,-0.0873719793457878
 PRKAR2B,ENSG00000005249,1.11610220026869
 S1PR5,ENSG00000180739,-0.909893588541945
 S1PR4,ENSG00000125910,0.71192198028261
 ITGA2B,ENSG00000005961,-0.327449943360581
 ATP2A3,ENSG00000074370,-0.0522518025571103
 PHACTR4,ENSG00000204138,0.0235738966063271
 PHACTR1,ENSG00000112137,-0.623335961703041
 OR2K2,ENSG00000171133,-0.809784682174296
 PHACTR3,ENSG00000087495,-2.33440302418405
 KRTAP2-3,ENSG00000212724,-0.315016759790697
 KRTAP2-2,ENSG00000214518,-0.114106362073825
 KRTAP2-1,ENSG00000212725,-0.385314742436235
 KRTAP2-4,ENSG00000213417,-0.451769323291691
 ITGA7,ENSG00000135424,0.613093627633173
 VMP1,ENSG00000062716,0.598012273952021
 NR1D1,ENSG00000126368,0.0951836242257016
 NR1D2,ENSG00000174738,-0.0392293975809821
 OGFR,ENSG00000060491,-0.0938936707994529
 PTCH2,ENSG00000117425,0.146398929288606
 PTCH1,ENSG00000185920,-0.789068652363272
 TIMM44,ENSG00000104980,-0.0712036874764958
 RAD9B,ENSG00000151164,0.163217814103011
 RAD9A,ENSG00000172613,0.110758776470599
 ERGIC2,ENSG00000087502,-0.0595841744921652
 ERGIC3,ENSG00000125991,0.102744682944512
 ERGIC1,ENSG00000113719,-0.0762737143424698
 B3GAT3,ENSG00000149541,-0.0835282138819236
 B3GAT2,ENSG00000112309,-0.365312861897429
 B3GAT1,ENSG00000109956,-1.64149108188755
 CALM2,ENSG00000143933,-0.0786207252463061
 TTC30A,ENSG00000197557,0.476744714554161
 TTC30B,ENSG00000196659,0.418235456376448
 SPG20,ENSG00000133104,0.129088146263225
 GSDMA,ENSG00000167914,-0.563157782681514
 GSDMB,ENSG00000073605,0.565640919009712
 GSDMC,ENSG00000147697,0.371770906873382
 GSDMD,ENSG00000104518,0.526328746229438
 FBXL13,ENSG00000161040,0.0726401077791748
 UPK1B,ENSG00000114638,-2.35779796765176
 DLGAP2,ENSG00000198010,-1.01244441423566
 DLGAP3,ENSG00000116544,-0.799243628036921
 DLGAP1,ENSG00000170579,-0.49963541228267
 DLGAP4,ENSG00000080845,-0.35542242222958
 DLGAP5,ENSG00000126787,-0.09135698636515
 KB-1507C5.2,ENSG00000253320,0.0649096439312293
 OIP5,ENSG00000104147,-0.238761531366994
 FBXL19,ENSG00000099364,-0.401069117107743
 LRRFIP1,ENSG00000124831,0.220217681940948
 PTPN18,ENSG00000072135,0.243566117584728
 PTPN13,ENSG00000163629,-0.205731288499497
 PTPN12,ENSG00000127947,0.375817347404383
 PTPN11,ENSG00000179295,-0.048500932764753
 PTPN14,ENSG00000152104,0.844240901859774
 LYAR,ENSG00000145220,0.225595315183808
 SDK2,ENSG00000069188,-0.572553230235514
 TFIP11,ENSG00000100109,-0.135714968070038
 C2orf81,ENSG00000159239,-0.135575571105717
 C2orf80,ENSG00000188674,-1.23155414887875
 DMRTB1,ENSG00000143006,-0.599333710220044
 C2orf82,ENSG00000182600,0.905687657699789
 C2orf88,ENSG00000187699,0.00936772814140765
 CDK1,ENSG00000170312,0.376607591548961
 MZB1,ENSG00000170476,2.08180597926255
 TRAPPC6B,ENSG00000182400,-0.261582789380051
 HLA-DQB1,ENSG00000179344,0.639565298940136
 HLA-DQB2,ENSG00000232629,-0.192637920628966
 CDK7,ENSG00000134058,-0.0240948594700944
 FOXS1,ENSG00000179772,-0.30010572898801
 AC008060.7,ENSG00000218672,-0.500820616053167
 LPAR2,ENSG00000064547,0.0625566986233971
 HAPLN4,ENSG00000187664,-0.240397395440402
 THSD1,ENSG00000136114,0.600555569796664
 CAMKK2,ENSG00000110931,-0.171286466913182
 CAMKK1,ENSG00000004660,-0.304250772491441
 CHST1,ENSG00000175264,-1.25029460193278
 CHMP3,ENSG00000115561,0.0607708114497822
 RPL36AL,ENSG00000165502,0.200200710520413
 CHMP7,ENSG00000147457,-0.116722026809994
 CHMP6,ENSG00000176108,0.0931927654013281
 CHMP5,ENSG00000086065,-0.0791496009493285
 OR52N4,ENSG00000181074,0.305166769021284
 OR52N2,ENSG00000180988,0.677509452762523
 LY6G6C,ENSG00000204421,-0.882468770837961
 LY6G6D,ENSG00000244355,-0.800538987031156
 LY6G6E,ENSG00000255552,-0.643086854401899
 LY6G6F,ENSG00000204424,-0.50723282544736
 HOXA10,ENSG00000253293,1.72296548848487
 GALNTL5,ENSG00000106648,-0.077076434986013
 GALNTL6,ENSG00000174473,-1.19228956503057
 SPECC1,ENSG00000128487,0.0631663597669299
 BCL2A1,ENSG00000140379,0.0240679669327546
 TDG,ENSG00000139372,0.124970124772563
 HN1,ENSG00000189159,-0.572319808928638
 ENTPD5,ENSG00000187097,0.122977415026344
 TBX2,ENSG00000121068,0.397750979622933
 LRRC27,ENSG00000148814,-0.0988086497498554
 LRRC26,ENSG00000184709,3.89020642801829
 KIAA1524,ENSG00000163507,-0.231405706739096
 KIAA1522,ENSG00000162522,0.494961573037479
 MPDU1,ENSG00000129255,0.0703049452197458
 LRRC28,ENSG00000168904,-0.251848153974208
 GCNT4,ENSG00000176928,0.30722445491574
 GCNT6,ENSG00000205318,0.216317506447853
 GCNT3,ENSG00000140297,-0.589159851592572
 GCNT2,ENSG00000111846,0.214575152743875
 TBX3,ENSG00000135111,1.14568366671436
 LPCAT2,ENSG00000087253,0.401137688910018
 LPCAT3,ENSG00000111684,0.381767965288893
 LPCAT1,ENSG00000153395,-0.215521728058073
 TAGLN,ENSG00000149591,0.504698956916062
 CCDC178,ENSG00000166960,1.29802719873302
 CCDC179,ENSG00000255359,-0.326231077861762
 CCDC170,ENSG00000120262,1.15547135383393
 CCDC171,ENSG00000164989,-0.0984125291764624
 CCDC172,ENSG00000182645,-0.210160991471312
 CCDC173,ENSG00000154479,-0.170849725292069
 CCDC174,ENSG00000154781,0.120031583664597
 CCDC175,ENSG00000151838,-0.588004555022759
 CCDC176,ENSG00000119636,0.118534095500481
 CCDC177,ENSG00000267909,-0.689627632765665
 PDK1,ENSG00000152256,0.127018315209101
 PDK4,ENSG00000004799,0.935765901813692
 LNPEP,ENSG00000113441,-0.108553750041238
 ALPI,ENSG00000163295,0.227934216257751
 SEC61A1,ENSG00000058262,0.0705111934249037
 SEC61A2,ENSG00000065665,-0.656078442846342
 ALPL,ENSG00000162551,1.08550537204959
 PECR,ENSG00000115425,0.626951902635983
 SNAPC5,ENSG00000174446,-0.161026571416222
 SNAPC4,ENSG00000165684,-0.0454705230585506
 DDIT3,ENSG00000175197,0.637265616645923
 DDIT4,ENSG00000168209,0.256626455579463
 RIIAD1,ENSG00000178796,-1.23552475583275
 GOLGA8T,ENSG00000261247,-0.468099245553883
 GOLGA8Q,ENSG00000178115,0.0459804811270603
 GOLGA8S,ENSG00000261739,-0.176448629831081
 GOLGA8R,ENSG00000186399,-0.154320616286192
 GOLGA8M,ENSG00000188626,0.66046994494405
 GOLGA8O,ENSG00000206127,-0.158762201606394
 GOLGA8N,ENSG00000232653,-0.280956878339187
 GOLGA8H,ENSG00000261794,-0.057157901693113
 GOLGA8K,ENSG00000249931,0.00175767688274073
 GOLGA8J,ENSG00000179938,-0.00806170982631788
 GOLGA8G,ENSG00000183629,0.994043697537055
 GOLGA8A,ENSG00000175265,0.208553223110449
 GOLGA8B,ENSG00000215252,0.132133275585778
 PTPMT1,ENSG00000110536,0.0942476207044906
 FTCDNL1,ENSG00000226124,0.0862358905608211
 VMO1,ENSG00000182853,-0.563504810971241
 ATP5C1,ENSG00000165629,-0.121920572213645
 ESRRG,ENSG00000196482,-0.755918211831393
 NPC2,ENSG00000119655,0.0949647161162423
 NPC1,ENSG00000141458,0.049568261461703
 C3orf58,ENSG00000181744,-0.212954033251593
 RAB3GAP2,ENSG00000118873,0.0621341863578703
 BHLHA15,ENSG00000180535,-0.706751349353366
 RAB3GAP1,ENSG00000115839,-0.155175884666087
 C3orf52,ENSG00000114529,0.105198143412775
 C3orf55,ENSG00000174899,1.79322293263408
 C3orf56,ENSG00000214324,-0.504898714939036
 DAG1,ENSG00000173402,0.00844888556284487
 ETHE1,ENSG00000105755,0.136300307033044
 SGSM3,ENSG00000100359,-0.100924039792107
 KDM1A,ENSG00000004487,-0.0304591213326805
 KDM1B,ENSG00000165097,-0.366068142759071
 SLC36A2,ENSG00000186335,0.158043178567467
 AC012313.1,ENSG00000269855,0.0187977004514952
 FCER1G,ENSG00000158869,0.140359204641651
 BTG4,ENSG00000137707,-0.18277028920412
 FCER1A,ENSG00000179639,0.0818024012273633
 BTG2,ENSG00000159388,0.617342627390952
 SOSTDC1,ENSG00000171243,0.970077848815108
 SRD5A3,ENSG00000128039,0.134108541266559
 SRD5A1,ENSG00000145545,-0.56744994568779
 ZFP14,ENSG00000142065,-0.0912741353185001
 ESRRB,ENSG00000119715,-0.214318080039772
 SEC11C,ENSG00000166562,-0.519020258380889
 GGA1,ENSG00000100083,-0.149015178274343
 GGA3,ENSG00000125447,-0.110520167405681
 GGA2,ENSG00000103365,-0.0807477720708604
 FHOD1,ENSG00000135723,0.315041931335582
 FHOD3,ENSG00000134775,0.137881143119316
 C21orf59,ENSG00000159079,-0.0360943473908176
 C4orf6,ENSG00000082929,0.149938543581589
 GJC2,ENSG00000198835,-0.715433315124584
 C4orf3,ENSG00000164096,-0.062892843654148
 GJC1,ENSG00000182963,0.131382250898186
 PSMB9,ENSG00000240065,0.573594383841941
 PSMB8,ENSG00000204264,0.442935487506115
 PSMB7,ENSG00000136930,-0.0675857487645338
 PSMB6,ENSG00000142507,-0.15529245526778
 PSMB5,ENSG00000100804,-0.165757268876391
 PSMB4,ENSG00000159377,0.0138987316761297
 PSMB2,ENSG00000126067,-0.0358779282653606
 LMBR1L,ENSG00000139636,0.117879795432751
 LTN1,ENSG00000198862,0.128857326009082
 TRIML2,ENSG00000179046,0.293141534186763
 C9orf141,ENSG00000198454,-0.699515349560985
 C9orf142,ENSG00000148362,-0.146118151763097
 TRIML1,ENSG00000184108,-0.141353697720495
 NACC2,ENSG00000148411,-0.468099541333697
 VPS13D,ENSG00000048707,-0.258809098243886
 NACC1,ENSG00000160877,-0.375867507420314
 VPS13A,ENSG00000197969,-0.358646564756121
 SH3KBP1,ENSG00000147010,0.476421258858803
 VPS13B,ENSG00000132549,-0.0350055653754162
 BEX5,ENSG00000184515,-0.601716674000528
 BEX4,ENSG00000102409,-0.33734127441483
 BEX2,ENSG00000133134,-1.05102735472951
 BEX1,ENSG00000133169,-1.86883300668788
 TSR2,ENSG00000158526,-0.197475197423839
 TMEM160,ENSG00000130748,-0.355330929860845
 TMEM163,ENSG00000152128,0.755759399885442
 TMEM165,ENSG00000134851,0.0226868303075673
 TMEM164,ENSG00000157600,0.215777891557771
 TMEM169,ENSG00000163449,-0.448864634685658
 TMEM168,ENSG00000146802,0.205468159451827
 EVI2B,ENSG00000185862,0.0284675412431374
 FOXN1,ENSG00000109101,0.395697999855074
 FOXN2,ENSG00000170802,0.0566716291644369
 FOXN3,ENSG00000053254,0.0847136124718613
 NICN1,ENSG00000145029,-0.100960347397282
 COL14A1,ENSG00000187955,1.02393482952849
 TAP1,ENSG00000168394,0.0403690260706545
 TAP2,ENSG00000204267,0.279763019548486
 SNAP91,ENSG00000065609,-2.37859659008425
 C11orf35,ENSG00000185522,0.252259843134201
 C11orf34,ENSG00000188771,0.148392751846976
 C11orf31,ENSG00000211450,0.0291938392626891
 C11orf30,ENSG00000158636,0.0216018666629029
 AC140481.2,ENSG00000183292,0.311737067552859
 MACROD2,ENSG00000172264,-0.868629078642093
 MACROD1,ENSG00000133315,0.0831606173534479
 SEP15,ENSG00000183291,0.118890181083584
 KRR1,ENSG00000111615,0.144157370615658
 FAM64A,ENSG00000129195,-0.0257097571979855
 FBXO18,ENSG00000134452,0.0979777993895816
 HIST2H3PS2,ENSG00000203818,-0.79139674855316
 C8orf49,ENSG00000255394,-0.658917428975746
 C8orf48,ENSG00000164743,0.422886492844442
 C8orf47,ENSG00000177459,-0.819085707773272
 C8orf46,ENSG00000169085,-0.764190227520998
 C8orf44,ENSG00000213865,-0.204333510930402
 TP53I3,ENSG00000115129,0.400811051299477
 MB,ENSG00000198125,-0.275111424653017
 SLC18A3,ENSG00000187714,-0.651934583020179
 SLC18A2,ENSG00000165646,-0.753021076372121
 SLC18A1,ENSG00000036565,-0.116757447035339
 RALBP1,ENSG00000017797,-0.138385989471612
 ZNF831,ENSG00000124203,0.164281838895021
 ZNF830,ENSG00000198783,0.220519464081323
 ZNF835,ENSG00000127903,-0.00846660618831259
 ZNF837,ENSG00000152475,0.240833588734549
 ZNF836,ENSG00000196267,-0.0272328061379754
 ZNF839,ENSG00000022976,0.101477036292388
 LRIF1,ENSG00000121931,-0.110777245241332
 PHAX,ENSG00000164902,-0.0595925240069409
 ZNF573,ENSG00000189144,-0.00809840282111757
 TSPY8,ENSG00000229549,-0.0317197925462379
 SBSPON,ENSG00000164764,0.218727714993057
 ZPBP,ENSG00000042813,0.319460167043416
 TSPY1,ENSG00000258992,0.0199039073723641
 BEGAIN,ENSG00000183092,-0.204046428525503
 SLC17A8,ENSG00000179520,-0.292515154409079
 RAB33B,ENSG00000172007,0.110768483895158
 SLC17A4,ENSG00000146039,0.52197746836763
 SLC17A5,ENSG00000119899,0.0776631100671499
 SLC17A6,ENSG00000091664,-1.02416714837462
 SLC17A7,ENSG00000104888,-0.0402698104579384
 SLC17A1,ENSG00000124568,-0.651763775446049
 SLC17A2,ENSG00000112337,-0.282142322863046
 SLC17A3,ENSG00000124564,0.288114685416115
 C16orf59,ENSG00000162062,0.0895933471781003
 SETDB2,ENSG00000136169,0.00738672861904544
 C16orf52,ENSG00000185716,-0.228520216387017
 AP5B1,ENSG00000254470,-0.0404611907133953
 CHMP4A,ENSG00000254505,0.167984723142449
 CHMP4B,ENSG00000101421,-0.0403601030393585
 CHMP4C,ENSG00000164695,1.19285930363854
 COBLL1,ENSG00000082438,0.40554956135009
 RAB7L1,ENSG00000117280,-0.0133488444352773
 TMEM255B,ENSG00000184497,0.582822999180856
 TMEM255A,ENSG00000125355,-0.080175023941429
 ST5,ENSG00000166444,-0.0361795081796797
 ST7,ENSG00000004866,-0.189569751705772
 ZNF304,ENSG00000131845,0.061885750286237
 STH,ENSG00000256762,0.311391825986494
 ZNF302,ENSG00000089335,-0.218885599333905
 ZNF300,ENSG00000145908,0.185773943412676
 STS,ENSG00000101846,0.259475561866627
 HOXB13,ENSG00000159184,-1.62601508866291
 IFT81,ENSG00000122970,-0.118245822318329
 FBXO17,ENSG00000269190,0.167758044388165
 TOMM34,ENSG00000025772,-0.159219561373151
 PPP3CA,ENSG00000138814,-0.117004568459804
 PPP3CB,ENSG00000107758,-0.257612344571344
 PPP3CC,ENSG00000120910,0.0382972055081131
 LIF,ENSG00000128342,0.872638023258468
 GPATCH8,ENSG00000186566,-0.0464983599723988
 IFT88,ENSG00000032742,-0.155569212571639
 RPL18,ENSG00000063177,0.271683694576131
 ADRA2A,ENSG00000150594,1.19828630356569
 ADRA2C,ENSG00000184160,-0.0274794914096274
 TEX26,ENSG00000175664,0.112376249157527
 TEX22,ENSG00000226174,0.167262193265618
 TEX29,ENSG00000153495,-0.232991920035444
 SYT8,ENSG00000149043,3.25872415267059
 SYT9,ENSG00000170743,-1.49666579175575
 MTCH2,ENSG00000109919,-0.122242099541252
 MTCH1,ENSG00000137409,-0.347044664824844
 SYT1,ENSG00000067715,-0.819386921710431
 SYT2,ENSG00000143858,-0.490982484249113
 SYT3,ENSG00000213023,-1.14350647235158
 SYT4,ENSG00000132872,-3.37521115289011
 SYT5,ENSG00000129990,-1.54138467526063
 SYT6,ENSG00000134207,-0.760513182750229
 SYT7,ENSG00000011347,0.654547278925825
 FUBP1,ENSG00000162613,0.155505472838536
 SCHIP1,ENSG00000151967,-0.230840544723554
 MARCO,ENSG00000019169,-0.43587422149231
 SAP30,ENSG00000164105,-0.296279185860599
 NBL1,ENSG00000158747,0.37354453831224
 DRC1,ENSG00000157856,-0.0956375135119388
 C1orf53,ENSG00000203724,-0.138812136835286
 C1orf52,ENSG00000162642,-0.0321534131629135
 C1orf51,ENSG00000159208,-0.644474623704703
 C1orf50,ENSG00000164008,-0.0682528759410075
 C1orf56,ENSG00000143443,-0.131778455316855
 C1orf54,ENSG00000118292,0.113007775043982
 MARC1,ENSG00000186205,0.992839468803537
 MARC2,ENSG00000117791,0.217173883064973
 ATG4B,ENSG00000168397,-0.20015484633661
 CSRP2BP,ENSG00000149474,-0.373382528850964
 SMPD4,ENSG00000136699,0.0218075519255318
 SMPD1,ENSG00000166311,-0.406108726474096
 SMPD3,ENSG00000103056,-0.691078395375079
 SMPD2,ENSG00000135587,0.156079105442556
 BRIP1,ENSG00000136492,0.333850768811522
 PDE11A,ENSG00000128655,1.01500307438649
 TTC28,ENSG00000100154,0.296089083413137
 TTC29,ENSG00000137473,0.101885285498723
 TTC24,ENSG00000187862,-0.44335265531126
 TTC25,ENSG00000204815,-0.267862991656988
 TTC26,ENSG00000105948,0.0795505628633858
 TTC27,ENSG00000018699,0.36834999067753
 PATL2,ENSG00000229474,0.102995539768774
 TTC22,ENSG00000006555,0.171031434043762
 PATL1,ENSG00000166889,0.131019566167495
 ENO1,ENSG00000074800,0.15845918828531
 NPY2R,ENSG00000185149,3.7694477484544
 ENO3,ENSG00000108515,-0.39797606109083
 ENO4,ENSG00000188316,-0.576052937753735
 RP11-171N4.2,ENSG00000251283,-0.198919079224887
 OBSCN,ENSG00000154358,-0.345879239327275
 SRRD,ENSG00000100104,-0.303823978534385
 MCL1,ENSG00000143384,0.442847366856865
 SORBS1,ENSG00000095637,0.168298053842115
 SORBS3,ENSG00000120896,0.162257254343085
 SORBS2,ENSG00000154556,0.195559517905652
 ODC1,ENSG00000115758,-0.347336839577238
 IL18RAP,ENSG00000115607,0.400307980088458
 EOMES,ENSG00000163508,-0.181373220018376
 CGB1,ENSG00000267631,-0.0629157834304196
 CGB2,ENSG00000104818,-0.131848332303318
 CFP,ENSG00000126759,-0.382048176302189
 FKBP14,ENSG00000106080,0.17109953266228
 FKBP15,ENSG00000119321,-0.0164180818111926
 UBE2J1,ENSG00000198833,0.0945706125475265
 UBE2J2,ENSG00000160087,-0.10290014254311
 FKBP11,ENSG00000134285,0.0551732658052826
 FBXO10,ENSG00000147912,-0.384548291513234
 FBXO11,ENSG00000138081,-0.080398363942088
 FBXO16,ENSG00000214050,-0.744549936727184
 FBXO15,ENSG00000141665,-0.276142969363745
 SFTA3,ENSG00000229415,-1.47556282266011
 SFTA2,ENSG00000196260,-1.34137502732979
 CNGB1,ENSG00000070729,-0.9605343844344
 CNGB3,ENSG00000170289,-0.181153640738316
 PLA2G6,ENSG00000184381,0.277576086816896
 PLA2G7,ENSG00000146070,-0.192187781494217
 PLA2G5,ENSG00000127472,-0.208066033017702
 PLA2G3,ENSG00000100078,-0.460898430269947
 GDPGP1,ENSG00000183208,0.102196911000715
 CCDC77,ENSG00000120647,-0.0816181191159074
 KRTAP1-3,ENSG00000221880,-0.479918952417618
 CCDC73,ENSG00000186714,-0.953066373363578
 CCDC70,ENSG00000123171,-0.163220152906905
 CCDC71,ENSG00000177352,0.41073458258911
 CCDC78,ENSG00000162004,-0.427479974505204
 CCDC79,ENSG00000249961,0.0908608031008091
 HIST3H2BB,ENSG00000196890,-1.25182051213778
 GHITM,ENSG00000165678,-0.136898608874556
 FKBP1B,ENSG00000119782,-0.638823487481831
 FKBP1C,ENSG00000198225,0.0527326479874643
 FKBP1A,ENSG00000088832,0.143947314114611
 MAP10,ENSG00000212916,0.322704043431907
 LGALS9B,ENSG00000170298,-0.492157582261973
 UNC50,ENSG00000115446,0.0675540655427074
 NKAIN3,ENSG00000185942,-0.453244729458664
 NKAIN2,ENSG00000188580,-0.410499320626429
 NKAIN1,ENSG00000084628,-0.999215618076372
 MAP1A,ENSG00000166963,-0.562658685852087
 MAP1B,ENSG00000131711,-0.237172894323005
 IGSF9B,ENSG00000080854,-1.2967381378011
 UNC5B,ENSG00000107731,-0.793510434156846
 UNC5C,ENSG00000182168,-0.636536535859934
 VGF,ENSG00000128564,-2.07686613607713
 UNC5A,ENSG00000113763,0.143804263860763
 UNC5D,ENSG00000156687,-2.39791953554755
 RP11-796G6.2,ENSG00000258512,0.233258696578947
 MAP1S,ENSG00000130479,0.0646852328218392
 CCP110,ENSG00000103540,-0.204435353834509
 RPL18A,ENSG00000105640,0.333857312179017
 CEND1,ENSG00000184524,-1.85795075435995
 CLEC18B,ENSG00000140839,-1.43550830279802
 SDR42E2,ENSG00000183921,-0.344405679382884
 SDR42E1,ENSG00000184860,1.09137274360989
 ALOX12B,ENSG00000179477,-2.25112202223925
 EPB41L1,ENSG00000088367,0.140689388954379
 PPCDC,ENSG00000138621,0.169243415683013
 EPB41L3,ENSG00000082397,-0.10967054739927
 EPB41L2,ENSG00000079819,0.350759396582317
 EPB41L5,ENSG00000115109,-0.176280265641183
 ACSS3,ENSG00000111058,0.318436788712687
 ACSS2,ENSG00000131069,0.463408403340663
 ACSS1,ENSG00000154930,-0.431781714998674
 KIDINS220,ENSG00000134313,-0.143747948047596
 RUNDC3A,ENSG00000108309,-2.72080264058271
 DFNA5,ENSG00000105928,-0.212349519168058
 MAGEH1,ENSG00000187601,-0.354122200611026
 WNT3,ENSG00000108379,-0.403721945448882
 WNT2,ENSG00000105989,0.492163045562329
 WNT1,ENSG00000125084,-0.522198346956254
 LRRN4,ENSG00000125872,-1.03802161358537
 AGXT,ENSG00000172482,1.1812710612929
 LRRN2,ENSG00000170382,0.275255567721831
 LRRN1,ENSG00000175928,-0.150828315681549
 WNT4,ENSG00000162552,-0.614072543691472
 CCM2L,ENSG00000101331,0.837546779440898
 AAGAB,ENSG00000103591,-0.0485617447756023
 RNF175,ENSG00000145428,-0.461506180010796
 RNF170,ENSG00000120925,-0.473437725976766
 FGGY,ENSG00000172456,-0.316679377037463
 PCNA,ENSG00000132646,-0.037221590398073
 ZBTB7A,ENSG00000178951,-0.299799433903432
 ZBTB7C,ENSG00000184828,0.103568287911358
 ZBTB7B,ENSG00000160685,0.248921806050912
 PCNP,ENSG00000081154,0.0688907975613753
 PCNT,ENSG00000160299,-0.337830385451145
 PCNX,ENSG00000100731,0.227103210963238
 UTY,ENSG00000183878,-0.192692790013116
 PACRG,ENSG00000112530,-0.730290108031222
 TOP3A,ENSG00000177302,-0.0366940714676134
 DNPH1,ENSG00000112667,0.0519782759798017
 TOP3B,ENSG00000100038,-0.007056458806415
 UFD1L,ENSG00000070010,-0.0777155499272131
 ILF3,ENSG00000129351,0.030111261952706
 ILF2,ENSG00000143621,0.203664481160327
 BOK,ENSG00000176720,0.481512962971121
 BOC,ENSG00000144857,0.862534027001873
 DENND2C,ENSG00000175984,-0.368046638527717
 DENND2A,ENSG00000146966,0.278029854172617
 DENND2D,ENSG00000162777,1.03068943093131
 GAGE1,ENSG00000205777,-0.2603460290325
 PPT1,ENSG00000131238,-0.0262607089423842
 PPT2,ENSG00000221988,0.0476681847547259
 INPP4B,ENSG00000109452,0.513401721900924
 INPP4A,ENSG00000040933,-0.277258578442634
 IGSF1,ENSG00000147255,-0.179259192356529
 SAFB,ENSG00000160633,-0.0475331356455714
 TRNP1,ENSG00000253368,-0.217439075136317
 DEFB123,ENSG00000180424,-0.354607036570732
 PPP1R26,ENSG00000196422,-0.207031338549525
 PPP1R27,ENSG00000182676,-0.724175245101149
 PPP1R21,ENSG00000162869,-0.280272303518073
 NGLY1,ENSG00000151092,-0.0703670303059868
 LMX1A,ENSG00000162761,0.598934841260364
 ZCCHC24,ENSG00000165424,0.119698136025394
 LMX1B,ENSG00000136944,2.80076604258522
