 gene    name , gene    ENS ,Skin-SunExposed(Lowerleg)
 TDG,ENSG00000139372,0.202887093551071
 HN1,ENSG00000189159,0.0410373543574305
 ENTPD5,ENSG00000187097,-0.0511160275753504
 TBX2,ENSG00000121068,-0.427530494255713
 LRRC27,ENSG00000148814,-0.44165995437037
 LRRC26,ENSG00000184709,3.14095226282588
 KIAA1524,ENSG00000163507,-0.330970779719595
 KIAA1522,ENSG00000162522,2.13680130153238
 MPDU1,ENSG00000129255,0.107588602957135
 LRRC28,ENSG00000168904,0.159967918609025
 GCNT4,ENSG00000176928,0.40512799521238
 GCNT6,ENSG00000205318,1.27888027718943
 GCNT3,ENSG00000140297,-0.385589416314924
 GCNT2,ENSG00000111846,0.387069765020366
 TBX3,ENSG00000135111,1.26566050395607
 LPCAT2,ENSG00000087253,0.43199453967642
 LPCAT3,ENSG00000111684,0.305552525936893
 LPCAT1,ENSG00000153395,-0.579760787949306
 TAGLN,ENSG00000149591,0.219205283805357
 CCDC178,ENSG00000166960,0.362982861457693
 CCDC179,ENSG00000255359,0.0475476866249291
 CCDC170,ENSG00000120262,-0.471357320168164
 CCDC171,ENSG00000164989,-0.204873637613769
 CCDC172,ENSG00000182645,0.187823190256606
 CCDC173,ENSG00000154479,-1.50011000318607
 CCDC174,ENSG00000154781,0.151620665322419
 CCDC175,ENSG00000151838,-0.685035815938513
 CCDC176,ENSG00000119636,-0.72723288734707
 CCDC177,ENSG00000267909,-1.17877285977885
 PDK1,ENSG00000152256,1.16966491254633
 PDK4,ENSG00000004799,-0.994157832145527
 LNPEP,ENSG00000113441,0.5921991450228
 ALPI,ENSG00000163295,-0.199847063002031
 SEC61A1,ENSG00000058262,0.33302509220828
 SEC61A2,ENSG00000065665,-0.56993009813652
 ALPL,ENSG00000162551,-1.05356321464523
 PECR,ENSG00000115425,-0.541002906480655
 SNAPC5,ENSG00000174446,-0.654897403929726
 SNAPC4,ENSG00000165684,0.127056623056199
 DDIT3,ENSG00000175197,-0.692944567134752
 DDIT4,ENSG00000168209,-0.540541014664428
 RIIAD1,ENSG00000178796,-0.910167820155536
 GOLGA8T,ENSG00000261247,-0.222311888375586
 GOLGA8Q,ENSG00000178115,-0.173779519333154
 GOLGA8S,ENSG00000261739,-0.232019708153257
 GOLGA8R,ENSG00000186399,-0.261868690987323
 GOLGA8M,ENSG00000188626,-1.46510504170315
 GOLGA8O,ENSG00000206127,-0.459060818139505
 GOLGA8N,ENSG00000232653,-0.304241957819605
 GOLGA8H,ENSG00000261794,-0.583070806974463
 GOLGA8K,ENSG00000249931,-0.582692838427321
 GOLGA8J,ENSG00000179938,-0.725244845028329
 GOLGA8G,ENSG00000183629,-0.04640177928803
 GOLGA8A,ENSG00000175265,-0.0814469421612581
 GOLGA8B,ENSG00000215252,-0.460504680499889
 PTPMT1,ENSG00000110536,-0.123906993475606
 FTCDNL1,ENSG00000226124,-0.264229783703872
 VMO1,ENSG00000182853,0.231039695387889
 ATP5C1,ENSG00000165629,-0.145493803973669
 ESRRG,ENSG00000196482,0.138959508415121
 NPC2,ENSG00000119655,0.580033313756806
 NPC1,ENSG00000141458,0.263132869305252
 C3orf58,ENSG00000181744,-0.109751637341877
 RAB3GAP2,ENSG00000118873,-0.249682010551297
 BHLHA15,ENSG00000180535,1.29529612262283
 RAB3GAP1,ENSG00000115839,0.192940956874405
 C3orf52,ENSG00000114529,3.75621253824768
 C3orf55,ENSG00000174899,0.594803817641654
 C3orf56,ENSG00000214324,-0.204832246772602
 DAG1,ENSG00000173402,0.316440308931436
 ETHE1,ENSG00000105755,0.104775020713242
 SGSM3,ENSG00000100359,-0.129824447756155
 KDM1A,ENSG00000004487,0.157286806183182
 KDM1B,ENSG00000165097,0.356617362046663
 SLC36A2,ENSG00000186335,-0.448055678306863
 AC012313.1,ENSG00000269855,4.99934346791454
 FCER1G,ENSG00000158869,0.37243647719585
 BTG4,ENSG00000137707,-0.438592014762494
 FCER1A,ENSG00000179639,2.43610384493634
 BTG2,ENSG00000159388,-0.331916338247397
 SOSTDC1,ENSG00000171243,2.51373231865494
 SRD5A3,ENSG00000128039,0.504331228540382
 SRD5A1,ENSG00000145545,1.15495809774324
 ZFP14,ENSG00000142065,-0.0939570092437857
 ESRRB,ENSG00000119715,-0.876844036702228
 SEC11C,ENSG00000166562,-0.186640256254596
 GGA1,ENSG00000100083,0.0029929963807497
 GGA3,ENSG00000125447,0.197299486360305
 GGA2,ENSG00000103365,-0.0399540946571158
 FHOD1,ENSG00000135723,-0.222444344631398
 FHOD3,ENSG00000134775,-0.715147133751147
 C21orf59,ENSG00000159079,-0.16103390910979
 C4orf6,ENSG00000082929,0.417829941474721
 GJC2,ENSG00000198835,-0.169472473434539
 C4orf3,ENSG00000164096,0.00614886005871647
 GJC1,ENSG00000182963,-0.534985507270425
 PSMB9,ENSG00000240065,0.268855489599589
 PSMB8,ENSG00000204264,0.716225615693155
 PSMB7,ENSG00000136930,0.374716465956347
 PSMB6,ENSG00000142507,0.203573186488229
 PSMB5,ENSG00000100804,-0.0191589795296208
 PSMB4,ENSG00000159377,0.225593689051175
 PSMB2,ENSG00000126067,0.226548150255856
 LMBR1L,ENSG00000139636,-0.0991729606145389
 LTN1,ENSG00000198862,-0.124211205757099
 TRIML2,ENSG00000179046,-1.05033463284465
 C9orf141,ENSG00000198454,-0.274436503501853
 C9orf142,ENSG00000148362,-0.241248684599587
 TRIML1,ENSG00000184108,-0.207154535328181
 NACC2,ENSG00000148411,-1.08117919734633
 VPS13D,ENSG00000048707,0.630090833326833
 NACC1,ENSG00000160877,0.135494931931795
 VPS13A,ENSG00000197969,0.244085244795109
 SH3KBP1,ENSG00000147010,0.627621445952783
 VPS13B,ENSG00000132549,0.102147261980034
 BEX5,ENSG00000184515,-0.68505336649258
 BEX4,ENSG00000102409,-0.925847446247465
 BEX2,ENSG00000133134,0.0866231382400678
 BEX1,ENSG00000133169,-2.65682911636431
 TSR2,ENSG00000158526,-0.0662357167161762
 TMEM160,ENSG00000130748,0.300342239426566
 TMEM163,ENSG00000152128,-3.13099930861139
 TMEM165,ENSG00000134851,0.0368692549468926
 TMEM164,ENSG00000157600,1.07273775808113
 TMEM169,ENSG00000163449,-0.749636241898132
 TMEM168,ENSG00000146802,0.333183325713482
 EVI2B,ENSG00000185862,-0.153059293715983
 FOXN1,ENSG00000109101,6.11671552304649
 FOXN2,ENSG00000170802,-0.615996910089353
 FOXN3,ENSG00000053254,0.74445599299432
 NICN1,ENSG00000145029,-0.340589670620593
 COL14A1,ENSG00000187955,0.0758663371156238
 TAP1,ENSG00000168394,1.13519008579143
 TAP2,ENSG00000204267,0.245782705879624
 SNAP91,ENSG00000065609,-3.3480975076643
 C11orf35,ENSG00000185522,1.45816897502898
 C11orf34,ENSG00000188771,0.929189727954285
 C11orf31,ENSG00000211450,-0.250515718850217
 C11orf30,ENSG00000158636,-0.35059406899706
 AC140481.2,ENSG00000183292,0.0719684936315728
 MACROD2,ENSG00000172264,-0.105697142616982
 MACROD1,ENSG00000133315,0.382259876232999
 SEP15,ENSG00000183291,-0.471652747683809
 KRR1,ENSG00000111615,0.00271462909795196
 FAM64A,ENSG00000129195,1.96060587534948
 FBXO18,ENSG00000134452,0.241960925114149
 HIST2H3PS2,ENSG00000203818,-0.860179369034052
 C8orf49,ENSG00000255394,-0.612867243106902
 C8orf48,ENSG00000164743,0.210401855307393
 C8orf47,ENSG00000177459,0.864250431512388
 C8orf46,ENSG00000169085,-2.02311205458115
 C8orf44,ENSG00000213865,-0.344791017854702
 TP53I3,ENSG00000115129,-0.81723588970338
 MB,ENSG00000198125,-0.266141260749467
 SLC18A3,ENSG00000187714,-0.545581831375191
 SLC18A2,ENSG00000165646,0.571841104790324
 SLC18A1,ENSG00000036565,-0.163829080007383
 RALBP1,ENSG00000017797,0.737051782728509
 ZNF831,ENSG00000124203,-0.396154952525673
 ZNF830,ENSG00000198783,0.00688496620497622
 ZNF835,ENSG00000127903,-1.12181984749727
 ZNF837,ENSG00000152475,1.02634915890376
 ZNF836,ENSG00000196267,0.222045485204998
 ZNF839,ENSG00000022976,0.0510296966631781
 LRIF1,ENSG00000121931,-0.140268347002397
 PHAX,ENSG00000164902,-0.286860630485285
 ZNF573,ENSG00000189144,0.0837524469536936
 TSPY8,ENSG00000229549,0.0799924449848037
 SBSPON,ENSG00000164764,-0.755438010159832
 ZPBP,ENSG00000042813,1.04869919619725
 TSPY1,ENSG00000258992,-0.0163390154283949
 BEGAIN,ENSG00000183092,-0.746094955681826
 SLC17A8,ENSG00000179520,-0.212937873110564
 RAB33B,ENSG00000172007,-0.5284472213385
 SLC17A4,ENSG00000146039,-0.685023971321068
 SLC17A5,ENSG00000119899,0.116726538125574
 SLC17A6,ENSG00000091664,-1.19840370028184
 SLC17A7,ENSG00000104888,-0.426185173488294
 SLC17A1,ENSG00000124568,0.0224623610222301
 SLC17A2,ENSG00000112337,-0.0329667952520513
 SLC17A3,ENSG00000124564,-0.766423276580162
 C16orf59,ENSG00000162062,-0.168903888359448
 SETDB2,ENSG00000136169,0.053839825128141
 C16orf52,ENSG00000185716,-0.48802890823678
 AP5B1,ENSG00000254470,0.801051337402824
 CHMP4A,ENSG00000254505,0.213633816855464
 CHMP4B,ENSG00000101421,0.0562554685529667
 CHMP4C,ENSG00000164695,3.29974242136069
 COBLL1,ENSG00000082438,0.357128959366663
 RAB7L1,ENSG00000117280,-0.645230326781823
 TMEM255B,ENSG00000184497,0.15265940912797
 TMEM255A,ENSG00000125355,0.165749658947408
 ST5,ENSG00000166444,-0.0204085041538657
 ST7,ENSG00000004866,-0.16740350012975
 ZNF304,ENSG00000131845,0.249065960220323
 STH,ENSG00000256762,-0.165207876571962
 ZNF302,ENSG00000089335,-0.870662461518983
 ZNF300,ENSG00000145908,-0.302865153437474
 STS,ENSG00000101846,-0.390330819290304
 HOXB13,ENSG00000159184,4.14702722411206
 IFT81,ENSG00000122970,-0.414020506930279
 FBXO17,ENSG00000269190,0.3965506699605
 TOMM34,ENSG00000025772,-0.259254124500689
 PPP3CA,ENSG00000138814,-0.217422323341311
 PPP3CB,ENSG00000107758,-0.723659368905549
 PPP3CC,ENSG00000120910,-0.433987094541239
 LIF,ENSG00000128342,2.28110840952795
 GPATCH8,ENSG00000186566,0.0959027283481537
 IFT88,ENSG00000032742,-0.666038127226854
 RPL18,ENSG00000063177,0.899759913912145
 ADRA2A,ENSG00000150594,1.29500984158131
 ADRA2C,ENSG00000184160,0.72826859234202
 TEX26,ENSG00000175664,-1.49564473324651
 TEX22,ENSG00000226174,-0.513189768007755
 TEX29,ENSG00000153495,-0.817668324959587
 SYT8,ENSG00000149043,5.66015775313361
 SYT9,ENSG00000170743,0.682922275519273
 MTCH2,ENSG00000109919,-0.0162401558389198
 MTCH1,ENSG00000137409,0.197793086914095
 SYT1,ENSG00000067715,-2.45052812064071
 SYT2,ENSG00000143858,-1.89944569488104
 SYT3,ENSG00000213023,-1.79417723405927
 SYT4,ENSG00000132872,-2.04212786984239
 SYT5,ENSG00000129990,0.478502672980397
 SYT6,ENSG00000134207,-0.0436909977266333
 SYT7,ENSG00000011347,-0.718234038058109
 FUBP1,ENSG00000162613,-0.140291407642417
 SCHIP1,ENSG00000151967,-2.18972911003231
 MARCO,ENSG00000019169,1.17161584887348
 SAP30,ENSG00000164105,-0.735499506583903
 NBL1,ENSG00000158747,0.787684766728713
 DRC1,ENSG00000157856,-1.31320650383697
 C1orf53,ENSG00000203724,-0.672542374259568
 C1orf52,ENSG00000162642,-0.412833805678187
 C1orf51,ENSG00000159208,0.95585693898419
 C1orf50,ENSG00000164008,-0.271947701904547
 C1orf56,ENSG00000143443,-0.1332827356595
 C1orf54,ENSG00000118292,-0.577615250875318
 MARC1,ENSG00000186205,-1.14520503876479
 MARC2,ENSG00000117791,-1.01513448168474
 ATG4B,ENSG00000168397,-0.121501270959826
 CSRP2BP,ENSG00000149474,0.247503767086064
 SMPD4,ENSG00000136699,0.197983651591847
 SMPD1,ENSG00000166311,0.615029459262328
 SMPD3,ENSG00000103056,1.6164044031139
 SMPD2,ENSG00000135587,0.919451658151225
 BRIP1,ENSG00000136492,1.53498733359925
 PDE11A,ENSG00000128655,-0.412135697277019
 TTC28,ENSG00000100154,-0.219897040277243
 TTC29,ENSG00000137473,-0.535681542546706
 TTC24,ENSG00000187862,-1.3854407564707
 TTC25,ENSG00000204815,-0.885262155491319
 TTC26,ENSG00000105948,-0.139991954333822
 TTC27,ENSG00000018699,0.301209282691993
 PATL2,ENSG00000229474,0.550304089312232
 TTC22,ENSG00000006555,3.90237501433426
 PATL1,ENSG00000166889,0.237577472573873
 ENO1,ENSG00000074800,0.442034324401273
 NPY2R,ENSG00000185149,-0.501721087433949
 ENO3,ENSG00000108515,-1.0140290389961
 ENO4,ENSG00000188316,0.374128608178674
 RP11-171N4.2,ENSG00000251283,-0.0648319919860084
 OBSCN,ENSG00000154358,-0.966116120160236
 SRRD,ENSG00000100104,-0.0354993708647714
 MCL1,ENSG00000143384,-0.117889684425437
 SORBS1,ENSG00000095637,-1.0350678058707
 SORBS3,ENSG00000120896,0.369846552445409
 SORBS2,ENSG00000154556,-1.31065694210975
 ODC1,ENSG00000115758,-0.770499942496838
 IL18RAP,ENSG00000115607,-0.233394205073372
 EOMES,ENSG00000163508,-0.678266075271363
 CGB1,ENSG00000267631,0.16707501353854
 CGB2,ENSG00000104818,0.0497786297462369
 CFP,ENSG00000126759,0.60384106385357
 FKBP14,ENSG00000106080,-0.128984166607953
 FKBP15,ENSG00000119321,0.302806086188978
 UBE2J1,ENSG00000198833,-0.351574808197159
 UBE2J2,ENSG00000160087,0.182259519657601
 FKBP11,ENSG00000134285,-0.168292370278499
 FBXO10,ENSG00000147912,-0.524038161757962
 FBXO11,ENSG00000138081,-0.198834165254905
 FBXO16,ENSG00000214050,-1.69980173582514
 FBXO15,ENSG00000141665,-1.20552759706759
 SFTA3,ENSG00000229415,-0.714874823865607
 SFTA2,ENSG00000196260,-0.543442695777109
 CNGB1,ENSG00000070729,-0.382167549086909
 CNGB3,ENSG00000170289,-0.0550145147388044
 PLA2G6,ENSG00000184381,-0.117857119722475
 PLA2G7,ENSG00000146070,0.653213041850634
 PLA2G5,ENSG00000127472,-0.731123096172626
 PLA2G3,ENSG00000100078,5.18508906202272
 GDPGP1,ENSG00000183208,-0.8740877151055
 CCDC77,ENSG00000120647,0.0162263924883813
 KRTAP1-3,ENSG00000221880,1.61906387633707
 CCDC73,ENSG00000186714,-1.41921381870627
 CCDC70,ENSG00000123171,-0.509440108329783
 CCDC71,ENSG00000177352,0.272493625773615
 CCDC78,ENSG00000162004,-1.07668730601989
 CCDC79,ENSG00000249961,0.0190065406576616
 HIST3H2BB,ENSG00000196890,0.583486950282125
 GHITM,ENSG00000165678,-0.322159244769985
 FKBP1B,ENSG00000119782,-0.152952223463851
 FKBP1C,ENSG00000198225,-0.0786473527681368
 FKBP1A,ENSG00000088832,-0.127315922838288
 MAP10,ENSG00000212916,-1.19415088477648
 LGALS9B,ENSG00000170298,1.73552490471663
 UNC50,ENSG00000115446,-0.0944472339876089
 NKAIN3,ENSG00000185942,-1.34321415478379
 NKAIN2,ENSG00000188580,-2.89894579556209
 NKAIN1,ENSG00000084628,1.59177175258327
 MAP1A,ENSG00000166963,-0.504076049547362
 MAP1B,ENSG00000131711,-0.336250500718312
 IGSF9B,ENSG00000080854,-0.432589010112019
 UNC5B,ENSG00000107731,0.47334032707235
 UNC5C,ENSG00000182168,-1.69481067164149
 VGF,ENSG00000128564,0.978761789676163
 UNC5A,ENSG00000113763,-0.690121977171247
 UNC5D,ENSG00000156687,-0.026887118236725
 RP11-796G6.2,ENSG00000258512,1.43154015665697
 MAP1S,ENSG00000130479,-0.553224019826996
 CCP110,ENSG00000103540,-0.736615510076122
 RPL18A,ENSG00000105640,1.14862661526421
 CEND1,ENSG00000184524,-1.51162341932701
 CLEC18B,ENSG00000140839,-1.58163725772344
 SDR42E2,ENSG00000183921,-0.322589466038098
 SDR42E1,ENSG00000184860,3.57821960467321
 ALOX12B,ENSG00000179477,6.40309479270544
 EPB41L1,ENSG00000088367,-0.711984168617562
 PPCDC,ENSG00000138621,-0.306581472721676
 EPB41L3,ENSG00000082397,-0.751351404906279
 EPB41L2,ENSG00000079819,-0.905210032847162
 EPB41L5,ENSG00000115109,-0.130892891154806
 ACSS3,ENSG00000111058,-0.708283928526516
 ACSS2,ENSG00000131069,0.249154877761912
 ACSS1,ENSG00000154930,-0.40311423384872
 KIDINS220,ENSG00000134313,-0.463825111552387
 RUNDC3A,ENSG00000108309,1.36516464565932
 DFNA5,ENSG00000105928,-0.871588558952515
 MAGEH1,ENSG00000187601,-0.922618524413897
 WNT3,ENSG00000108379,2.85528044170178
 WNT2,ENSG00000105989,1.41049164867127
 WNT1,ENSG00000125084,-0.550345057463463
 LRRN4,ENSG00000125872,0.469618040211118
 AGXT,ENSG00000172482,-0.481136694148956
 LRRN2,ENSG00000170382,-2.07804716913986
 LRRN1,ENSG00000175928,-0.064113698651639
 WNT4,ENSG00000162552,3.56262763573815
 CCM2L,ENSG00000101331,-0.436532035870371
 AAGAB,ENSG00000103591,-0.0534307637802167
 RNF175,ENSG00000145428,-0.675717466360973
 RNF170,ENSG00000120925,0.106852776121926
 FGGY,ENSG00000172456,-0.267876500148896
 PCNA,ENSG00000132646,0.166266738511737
 ZBTB7A,ENSG00000178951,0.410812228227204
 ZBTB7C,ENSG00000184828,2.28735881001959
 ZBTB7B,ENSG00000160685,1.72759878566909
 PCNP,ENSG00000081154,-0.635571269739941
 PCNT,ENSG00000160299,-0.270611608207993
 PCNX,ENSG00000100731,-0.370899952658761
 UTY,ENSG00000183878,0.932063634408008
 PACRG,ENSG00000112530,-0.486859015195012
 TOP3A,ENSG00000177302,0.191705089157455
 DNPH1,ENSG00000112667,0.0355658249148249
 TOP3B,ENSG00000100038,0.316363922833639
 UFD1L,ENSG00000070010,0.240316114367734
 ILF3,ENSG00000129351,0.162067397031459
 ILF2,ENSG00000143621,0.226863956354427
 BOK,ENSG00000176720,0.175581147343893
 BOC,ENSG00000144857,1.62697718141526
 DENND2C,ENSG00000175984,2.2533354122061
 DENND2A,ENSG00000146966,-0.594914200881354
 DENND2D,ENSG00000162777,1.71209002775092
 GAGE1,ENSG00000205777,-0.0274016346061576
 PPT1,ENSG00000131238,-0.401152847667367
 PPT2,ENSG00000221988,0.420251420936952
 INPP4B,ENSG00000109452,-0.365782619981088
 INPP4A,ENSG00000040933,-0.783139308167305
 IGSF1,ENSG00000147255,-1.76532737254981
 SAFB,ENSG00000160633,0.255748952773473
 TRNP1,ENSG00000253368,-0.435125468564318
 DEFB123,ENSG00000180424,0.0885059156626686
 PPP1R26,ENSG00000196422,-0.544243108176239
 PPP1R27,ENSG00000182676,0.392197383996069
 PPP1R21,ENSG00000162869,-0.0814240837397991
 NGLY1,ENSG00000151092,-0.288406910374575
 LMX1A,ENSG00000162761,1.17824544318007
 ZCCHC24,ENSG00000165424,-0.534284855234325
 LMX1B,ENSG00000136944,3.21955292051119
 MRGPRF,ENSG00000172935,0.841944219655102
