 gene    name , gene    ENS ,Skin-NotSunExposed(Suprapubic)
 ANKFY1,ENSG00000185722,0.0393164029722139
 CFB,ENSG00000243649,-0.129456252954173
 OPA3,ENSG00000125741,0.027602110671577
 AAAS,ENSG00000094914,0.0624070188614877
 SIDT1,ENSG00000072858,-0.504763745698932
 SIDT2,ENSG00000149577,-0.0635304973738236
 SAGE1,ENSG00000181433,-0.509872512270066
 RP11-89K11.1,ENSG00000259658,-0.522299679784965
 AC093802.1,ENSG00000220256,-0.379888338586507
 C4orf19,ENSG00000154274,0.245668676932545
 SLC7A6OS,ENSG00000103061,-0.06210821348841
 C4orf17,ENSG00000138813,-0.518101983246418
 CDH26,ENSG00000124215,-0.198175839229371
 ETV3L,ENSG00000253831,0.544072320217294
 C15orf26,ENSG00000156206,-0.861027630962844
 C15orf27,ENSG00000169758,0.373620493272142
 ZNF117,ENSG00000152926,0.333646217988978
 ZNF114,ENSG00000178150,0.201320978660707
 ZNF112,ENSG00000062370,-0.0934171262452758
 SEZ6L,ENSG00000100095,1.76508930075724
 ITGA8,ENSG00000077943,-0.498639818126894
 ITGA9,ENSG00000144668,-0.117529826500466
 PRKAR2A,ENSG00000114302,0.0875267935398896
 PRKAR2B,ENSG00000005249,-1.08598959747696
 S1PR5,ENSG00000180739,1.38509221355264
 S1PR4,ENSG00000125910,-0.681196631709059
 ITGA2B,ENSG00000005961,-0.864769214905329
 ATP2A3,ENSG00000074370,0.486092729084529
 PHACTR4,ENSG00000204138,0.255865198728935
 PHACTR1,ENSG00000112137,-0.355723615123581
 OR2K2,ENSG00000171133,-0.820402073417943
 PHACTR3,ENSG00000087495,-0.64193455995144
 KRTAP2-3,ENSG00000212724,4.94276087523885
 KRTAP2-2,ENSG00000214518,5.90431606921531
 KRTAP2-1,ENSG00000212725,5.58574894269139
 KRTAP2-4,ENSG00000213417,5.98679590775954
 ITGA7,ENSG00000135424,-0.556685210288938
 VMP1,ENSG00000062716,-0.343955257504526
 NR1D1,ENSG00000126368,0.979894957599657
 NR1D2,ENSG00000174738,-0.252842674349555
 OGFR,ENSG00000060491,-0.20392078529221
 PTCH2,ENSG00000117425,0.769501490973592
 PTCH1,ENSG00000185920,0.266533454836848
 TIMM44,ENSG00000104980,0.0358028749458212
 RAD9B,ENSG00000151164,-0.224037014695468
 RAD9A,ENSG00000172613,0.180946894537051
 ERGIC2,ENSG00000087502,0.0326762266635827
 ERGIC3,ENSG00000125991,0.158236390877969
 ERGIC1,ENSG00000113719,-0.252966600764452
 B3GAT3,ENSG00000149541,0.191289643364171
 B3GAT2,ENSG00000112309,0.171481860544412
 B3GAT1,ENSG00000109956,-0.360658098294698
 CALM2,ENSG00000143933,-0.180995866523783
 TTC30A,ENSG00000197557,0.0923194283306367
 TTC30B,ENSG00000196659,0.471126187661515
 SPG20,ENSG00000133104,-0.180003024655301
 GSDMA,ENSG00000167914,3.09750040914725
 GSDMB,ENSG00000073605,0.385874006248601
 GSDMC,ENSG00000147697,2.68750531246252
 GSDMD,ENSG00000104518,-0.165464283063563
 FBXL13,ENSG00000161040,-0.190151730386357
 UPK1B,ENSG00000114638,1.46653452214052
 DLGAP2,ENSG00000198010,0.0248677671709725
 DLGAP3,ENSG00000116544,-0.327666630748014
 DLGAP1,ENSG00000170579,-0.998313058786049
 DLGAP4,ENSG00000080845,0.121259685831121
 DLGAP5,ENSG00000126787,1.88317550039542
 KB-1507C5.2,ENSG00000253320,-0.348521397832115
 OIP5,ENSG00000104147,0.80781181678349
 FBXL19,ENSG00000099364,0.248026815163024
 LRRFIP1,ENSG00000124831,0.0211897222680191
 PTPN18,ENSG00000072135,-0.374378883956612
 PTPN13,ENSG00000163629,1.01161442574259
 PTPN12,ENSG00000127947,0.224497344937082
 PTPN11,ENSG00000179295,-0.17309876864612
 PTPN14,ENSG00000152104,1.23966749964766
 LYAR,ENSG00000145220,-0.121377686089493
 SDK2,ENSG00000069188,-0.290199646397183
 TFIP11,ENSG00000100109,0.101595574016015
 C2orf81,ENSG00000159239,-0.385573292645389
 C2orf80,ENSG00000188674,-1.60534422557058
 DMRTB1,ENSG00000143006,-0.062861600406091
 C2orf82,ENSG00000182600,0.851285333654846
 C2orf88,ENSG00000187699,-0.126230809238312
 CDK1,ENSG00000170312,1.12272227337697
 MZB1,ENSG00000170476,0.705477741411001
 TRAPPC6B,ENSG00000182400,-0.20288636214754
 HLA-DQB1,ENSG00000179344,0.302586490029832
 HLA-DQB2,ENSG00000232629,2.27401376611134
 CDK7,ENSG00000134058,0.366169105463482
 FOXS1,ENSG00000179772,-0.664724325367698
 AC008060.7,ENSG00000218672,-0.731621229298569
 LPAR2,ENSG00000064547,0.787410659305488
 HAPLN4,ENSG00000187664,-1.35041271594994
 THSD1,ENSG00000136114,0.316615521585222
 CAMKK2,ENSG00000110931,-0.375344815830841
 CAMKK1,ENSG00000004660,0.483664528871755
 CHST1,ENSG00000175264,-0.792582745171251
 CHMP3,ENSG00000115561,0.155926761596975
 RPL36AL,ENSG00000165502,-0.00616854788469996
 CHMP7,ENSG00000147457,-0.0626879044298108
 CHMP6,ENSG00000176108,0.0918193583091302
 CHMP5,ENSG00000086065,0.0201687133601299
 OR52N4,ENSG00000181074,-0.236262890154102
 OR52N2,ENSG00000180988,-0.572235235538046
 LY6G6C,ENSG00000204421,3.34441384254912
 LY6G6D,ENSG00000244355,4.60231576176227
 LY6G6E,ENSG00000255552,1.93299258213696
 LY6G6F,ENSG00000204424,1.42522313892795
 HOXA10,ENSG00000253293,2.15766863965185
 GALNTL5,ENSG00000106648,-0.319210005393496
 GALNTL6,ENSG00000174473,0.292300891273412
 SPECC1,ENSG00000128487,-0.382983591905892
 BCL2A1,ENSG00000140379,-0.466837898444003
 TDG,ENSG00000139372,0.433980526617663
 HN1,ENSG00000189159,0.210724824338375
 ENTPD5,ENSG00000187097,-0.129546549006366
 TBX2,ENSG00000121068,-0.840854521426239
 LRRC27,ENSG00000148814,-0.138886062755546
 LRRC26,ENSG00000184709,2.21625604138662
 KIAA1524,ENSG00000163507,0.032281097830985
 KIAA1522,ENSG00000162522,1.15545804485643
 MPDU1,ENSG00000129255,0.351088770772823
 LRRC28,ENSG00000168904,-0.028164420136816
 GCNT4,ENSG00000176928,0.782158384153241
 GCNT6,ENSG00000205318,-1.03016697509957
 GCNT3,ENSG00000140297,-0.232334530736619
 GCNT2,ENSG00000111846,0.542666358858284
 TBX3,ENSG00000135111,0.719218118346612
 LPCAT2,ENSG00000087253,0.411917787892892
 LPCAT3,ENSG00000111684,0.676547265857536
 LPCAT1,ENSG00000153395,-0.559375174040464
 TAGLN,ENSG00000149591,-0.59604285973634
 CCDC178,ENSG00000166960,-1.41938209906427
 CCDC179,ENSG00000255359,0.0961474213240906
 CCDC170,ENSG00000120262,-1.2426445520741
 CCDC171,ENSG00000164989,0.275960970032622
 CCDC172,ENSG00000182645,0.22193271561765
 CCDC173,ENSG00000154479,-0.477850683644154
 CCDC174,ENSG00000154781,-0.0328189803141565
 CCDC175,ENSG00000151838,-0.723185874185799
 CCDC176,ENSG00000119636,-0.274739815530082
 CCDC177,ENSG00000267909,-1.21350373296975
 PDK1,ENSG00000152256,0.725024556769995
 PDK4,ENSG00000004799,-0.0634242521002057
 LNPEP,ENSG00000113441,0.180682271976455
 ALPI,ENSG00000163295,0.810149707539898
 SEC61A1,ENSG00000058262,0.0903481087877615
 SEC61A2,ENSG00000065665,-0.51759366322401
 ALPL,ENSG00000162551,-0.323861783655798
 PECR,ENSG00000115425,0.156199119887331
 SNAPC5,ENSG00000174446,-0.275609478508047
 SNAPC4,ENSG00000165684,0.0186581916025388
 DDIT3,ENSG00000175197,0.212427110490328
 DDIT4,ENSG00000168209,0.521994753572178
 RIIAD1,ENSG00000178796,-0.242058896188304
 GOLGA8T,ENSG00000261247,-0.181137663748462
 GOLGA8Q,ENSG00000178115,-0.0946549205882805
 GOLGA8S,ENSG00000261739,-0.17800574605124
 GOLGA8R,ENSG00000186399,-0.222066349876609
 GOLGA8M,ENSG00000188626,-1.00709632191261
 GOLGA8O,ENSG00000206127,-0.0693297355348408
 GOLGA8N,ENSG00000232653,-0.186108108226254
 GOLGA8H,ENSG00000261794,-0.0188334445031586
 GOLGA8K,ENSG00000249931,0.0693996166665476
 GOLGA8J,ENSG00000179938,-0.236184006547161
 GOLGA8G,ENSG00000183629,0.418255847387493
 GOLGA8A,ENSG00000175265,0.0857062624059579
 GOLGA8B,ENSG00000215252,-0.169427600657984
 PTPMT1,ENSG00000110536,0.024543047083556
 FTCDNL1,ENSG00000226124,0.100392251503906
 VMO1,ENSG00000182853,-0.322099576976984
 ATP5C1,ENSG00000165629,0.0610768899397714
 ESRRG,ENSG00000196482,0.587329511928635
 NPC2,ENSG00000119655,0.0466036772976927
 NPC1,ENSG00000141458,0.193456290570719
 C3orf58,ENSG00000181744,0.396849155690416
 RAB3GAP2,ENSG00000118873,0.000687811758264021
 BHLHA15,ENSG00000180535,-0.149302992632288
 RAB3GAP1,ENSG00000115839,0.0271618565253877
 C3orf52,ENSG00000114529,1.8803340356745
 C3orf55,ENSG00000174899,-0.250055182795473
 C3orf56,ENSG00000214324,-0.11456449259607
 DAG1,ENSG00000173402,0.183335450435581
 ETHE1,ENSG00000105755,0.119213021937702
 SGSM3,ENSG00000100359,-0.0170172486405008
 KDM1A,ENSG00000004487,0.193374202772948
 KDM1B,ENSG00000165097,0.28668505041489
 SLC36A2,ENSG00000186335,0.422248424800925
 AC012313.1,ENSG00000269855,2.03772906581939
 FCER1G,ENSG00000158869,-0.278143025534412
 BTG4,ENSG00000137707,-0.494554989355617
 FCER1A,ENSG00000179639,1.19545438758457
 BTG2,ENSG00000159388,0.309495243833581
 SOSTDC1,ENSG00000171243,2.27573412794534
 SRD5A3,ENSG00000128039,0.500274118865879
 SRD5A1,ENSG00000145545,1.44948881941521
 ZFP14,ENSG00000142065,-0.0837994381867841
 ESRRB,ENSG00000119715,-0.840229380385237
 SEC11C,ENSG00000166562,-0.00864946501352805
 GGA1,ENSG00000100083,0.00272728764782896
 GGA3,ENSG00000125447,0.0650445064792562
 GGA2,ENSG00000103365,-0.11342336199485
 FHOD1,ENSG00000135723,-0.373288982273797
 FHOD3,ENSG00000134775,0.492181796929848
 C21orf59,ENSG00000159079,0.089328130951871
 C4orf6,ENSG00000082929,0.510093377834634
 GJC2,ENSG00000198835,-0.561129936566065
 C4orf3,ENSG00000164096,-0.0317239121097494
 GJC1,ENSG00000182963,-0.359721851541491
 PSMB9,ENSG00000240065,0.280817460321737
 PSMB8,ENSG00000204264,0.523033071078223
 PSMB7,ENSG00000136930,0.171995999818924
 PSMB6,ENSG00000142507,0.154980045272851
 PSMB5,ENSG00000100804,0.054611108385986
 PSMB4,ENSG00000159377,0.0362298418934509
 PSMB2,ENSG00000126067,0.181572327026865
 LMBR1L,ENSG00000139636,-0.173561016439215
 LTN1,ENSG00000198862,0.0933701879171327
 TRIML2,ENSG00000179046,0.494951465815997
 C9orf141,ENSG00000198454,0.332545823036298
 C9orf142,ENSG00000148362,0.260919048525837
 TRIML1,ENSG00000184108,0.601589043207248
 NACC2,ENSG00000148411,-0.903926378944813
 VPS13D,ENSG00000048707,0.419719177849479
 NACC1,ENSG00000160877,-0.0319368855283185
 VPS13A,ENSG00000197969,0.15029054586214
 SH3KBP1,ENSG00000147010,0.178914043642633
 VPS13B,ENSG00000132549,0.159988106452642
 BEX5,ENSG00000184515,-0.50458784357046
 BEX4,ENSG00000102409,-0.476339998999265
 BEX2,ENSG00000133134,-0.436823825005798
 BEX1,ENSG00000133169,-2.26049200368301
 TSR2,ENSG00000158526,-0.108913187059874
 TMEM160,ENSG00000130748,-0.166621478443061
 TMEM163,ENSG00000152128,-1.13334994170465
 TMEM165,ENSG00000134851,-0.0868754237341363
 TMEM164,ENSG00000157600,0.443931585406203
 TMEM169,ENSG00000163449,-0.687588513046565
 TMEM168,ENSG00000146802,0.393104645853971
 EVI2B,ENSG00000185862,-0.223571826988763
 FOXN1,ENSG00000109101,3.80138784644338
 FOXN2,ENSG00000170802,-0.305047536366623
 FOXN3,ENSG00000053254,0.397617556111821
 NICN1,ENSG00000145029,-0.119692549499837
 COL14A1,ENSG00000187955,-0.00217528837263098
 TAP1,ENSG00000168394,0.671927878978877
 TAP2,ENSG00000204267,0.250921096063624
 SNAP91,ENSG00000065609,-1.26453819025359
 C11orf35,ENSG00000185522,0.525224637025962
 C11orf34,ENSG00000188771,0.711739888703092
 C11orf31,ENSG00000211450,-0.0399093062582424
 C11orf30,ENSG00000158636,-0.0314076051801023
 AC140481.2,ENSG00000183292,-0.332182854766962
 MACROD2,ENSG00000172264,-0.0674940102807449
 MACROD1,ENSG00000133315,0.229482158728603
 SEP15,ENSG00000183291,-0.0782573801983972
 KRR1,ENSG00000111615,0.0589153254481201
 FAM64A,ENSG00000129195,1.50918494815465
 FBXO18,ENSG00000134452,0.317032536713941
 HIST2H3PS2,ENSG00000203818,-0.341550332183493
 C8orf49,ENSG00000255394,-0.963511865997318
 C8orf48,ENSG00000164743,0.100969719082365
 C8orf47,ENSG00000177459,1.31257692197343
 C8orf46,ENSG00000169085,-1.11663402349199
 C8orf44,ENSG00000213865,-0.306118210751438
 TP53I3,ENSG00000115129,-0.308221029269034
 MB,ENSG00000198125,-0.677995839569954
 SLC18A3,ENSG00000187714,-0.984392025635672
 SLC18A2,ENSG00000165646,-0.0630346592535094
 SLC18A1,ENSG00000036565,0.245499435439799
 RALBP1,ENSG00000017797,0.480844836797219
 ZNF831,ENSG00000124203,-0.171595853147663
 ZNF830,ENSG00000198783,0.150488387135691
 ZNF835,ENSG00000127903,-0.711344784661506
 ZNF837,ENSG00000152475,0.475855412919898
 ZNF836,ENSG00000196267,0.0557108773471249
 ZNF839,ENSG00000022976,0.135294493787361
 LRIF1,ENSG00000121931,-0.116053637502087
 PHAX,ENSG00000164902,-0.0765583293860515
 ZNF573,ENSG00000189144,0.253900339991935
 TSPY8,ENSG00000229549,0.0378401167904882
 SBSPON,ENSG00000164764,0.226293033669107
 ZPBP,ENSG00000042813,-0.434495050432845
 TSPY1,ENSG00000258992,-0.0318345515520263
 BEGAIN,ENSG00000183092,-0.471017054462062
 SLC17A8,ENSG00000179520,-0.819619856962822
 RAB33B,ENSG00000172007,-0.274743509548416
 SLC17A4,ENSG00000146039,-0.75794130755345
 SLC17A5,ENSG00000119899,-0.0833766696883648
 SLC17A6,ENSG00000091664,-0.405033698189732
 SLC17A7,ENSG00000104888,-0.158457108878132
 SLC17A1,ENSG00000124568,-0.831862726636718
 SLC17A2,ENSG00000112337,-0.412183007197665
 SLC17A3,ENSG00000124564,-0.600099112049468
 C16orf59,ENSG00000162062,0.380076397031186
 SETDB2,ENSG00000136169,0.141200238850001
 C16orf52,ENSG00000185716,-0.335394541566808
 AP5B1,ENSG00000254470,0.247013749258441
 CHMP4A,ENSG00000254505,0.415789165776306
 CHMP4B,ENSG00000101421,0.0853957902853061
 CHMP4C,ENSG00000164695,1.35281432831099
 COBLL1,ENSG00000082438,0.387230121314503
 RAB7L1,ENSG00000117280,-0.423454693229983
 TMEM255B,ENSG00000184497,-0.0090908295079362
 TMEM255A,ENSG00000125355,-0.580602359799905
 ST5,ENSG00000166444,-0.524273590303161
 ST7,ENSG00000004866,-0.143785283973031
 ZNF304,ENSG00000131845,0.0256221920649675
 STH,ENSG00000256762,-0.392910417570864
 ZNF302,ENSG00000089335,-0.406916243885602
 ZNF300,ENSG00000145908,0.199627657231026
 STS,ENSG00000101846,-1.01084923583844
 HOXB13,ENSG00000159184,-2.85400198411057
 IFT81,ENSG00000122970,-0.154961900441598
 FBXO17,ENSG00000269190,0.149681051274521
 TOMM34,ENSG00000025772,-0.234584398731991
 PPP3CA,ENSG00000138814,0.0595564331343682
 PPP3CB,ENSG00000107758,-0.300238217867093
 PPP3CC,ENSG00000120910,-0.289169151349906
 LIF,ENSG00000128342,0.643990635615284
 GPATCH8,ENSG00000186566,7.95475874020372e-05
 IFT88,ENSG00000032742,-0.28559248294037
 RPL18,ENSG00000063177,0.359131209688901
 ADRA2A,ENSG00000150594,0.213849623097152
 ADRA2C,ENSG00000184160,-0.265710776142834
 TEX26,ENSG00000175664,-1.18146926721067
 TEX22,ENSG00000226174,-0.56298981924342
 TEX29,ENSG00000153495,-0.841578591872189
 SYT8,ENSG00000149043,2.72754714023131
 SYT9,ENSG00000170743,-0.689244139069588
 MTCH2,ENSG00000109919,0.175992191794806
 MTCH1,ENSG00000137409,-0.209423961021361
 SYT1,ENSG00000067715,-1.40679036101853
 SYT2,ENSG00000143858,-0.980317121628485
 SYT3,ENSG00000213023,-0.312318979623305
 SYT4,ENSG00000132872,-1.50693597025758
 SYT5,ENSG00000129990,-0.229025426316426
 SYT6,ENSG00000134207,-0.614709336420791
 SYT7,ENSG00000011347,0.0320752463676147
 FUBP1,ENSG00000162613,0.0730751871508887
 SCHIP1,ENSG00000151967,-1.97595274002917
 MARCO,ENSG00000019169,-0.0999887523974027
 SAP30,ENSG00000164105,-0.0777025998614972
 NBL1,ENSG00000158747,0.0840220877186109
 DRC1,ENSG00000157856,-1.2771412354227
 C1orf53,ENSG00000203724,-0.710299866511829
 C1orf52,ENSG00000162642,0.00307068693708145
 C1orf51,ENSG00000159208,0.622720815099952
 C1orf50,ENSG00000164008,0.0239948943377044
 C1orf56,ENSG00000143443,-0.281427780402091
 C1orf54,ENSG00000118292,-0.403780365882744
 MARC1,ENSG00000186205,-0.964709618099534
 MARC2,ENSG00000117791,-0.678427781296249
 ATG4B,ENSG00000168397,0.152238993647601
 CSRP2BP,ENSG00000149474,0.293471498214635
 SMPD4,ENSG00000136699,0.0291769310029935
 SMPD1,ENSG00000166311,-0.0654949879380931
 SMPD3,ENSG00000103056,0.139208674437754
 SMPD2,ENSG00000135587,0.958816625361401
 BRIP1,ENSG00000136492,0.877641859099154
 PDE11A,ENSG00000128655,-0.608597795195495
 TTC28,ENSG00000100154,-0.575657592312931
 TTC29,ENSG00000137473,-0.873741864936546
 TTC24,ENSG00000187862,-0.433488308308394
 TTC25,ENSG00000204815,-0.54876754963235
 TTC26,ENSG00000105948,0.0179953210492891
 TTC27,ENSG00000018699,0.432728709153176
 PATL2,ENSG00000229474,-0.127927868005091
 TTC22,ENSG00000006555,1.75844140831356
 PATL1,ENSG00000166889,0.0501927881062346
 ENO1,ENSG00000074800,0.261636887285438
 NPY2R,ENSG00000185149,0.751169403081354
 ENO3,ENSG00000108515,-0.825739944003146
 ENO4,ENSG00000188316,-0.168981072086895
 RP11-171N4.2,ENSG00000251283,-0.0824426953938878
 OBSCN,ENSG00000154358,-0.154055879992404
 SRRD,ENSG00000100104,0.0149197758846076
 MCL1,ENSG00000143384,0.458907285001677
 SORBS1,ENSG00000095637,-0.692153471790818
 SORBS3,ENSG00000120896,-0.22246689176626
 SORBS2,ENSG00000154556,-0.795051809050683
 ODC1,ENSG00000115758,0.299836230432263
 IL18RAP,ENSG00000115607,-0.891722321052853
 EOMES,ENSG00000163508,-1.26293868603419
 CGB1,ENSG00000267631,0.0588038135840507
 CGB2,ENSG00000104818,0.26389009501668
 CFP,ENSG00000126759,-0.331305064135976
 FKBP14,ENSG00000106080,-0.167433484204059
 FKBP15,ENSG00000119321,0.266841813838558
 UBE2J1,ENSG00000198833,-0.316992709596757
 UBE2J2,ENSG00000160087,0.0825766246120657
 FKBP11,ENSG00000134285,-0.110795207834964
 FBXO10,ENSG00000147912,-0.54242918409342
 FBXO11,ENSG00000138081,-0.0347822945171911
 FBXO16,ENSG00000214050,-0.549842908568558
 FBXO15,ENSG00000141665,-0.598103306409628
 SFTA3,ENSG00000229415,-1.74215133294814
 SFTA2,ENSG00000196260,-1.47927260521087
 CNGB1,ENSG00000070729,0.918259520973987
 CNGB3,ENSG00000170289,-0.213148417982203
 PLA2G6,ENSG00000184381,0.183310677542823
 PLA2G7,ENSG00000146070,0.381012454467364
 PLA2G5,ENSG00000127472,-0.887287933859275
 PLA2G3,ENSG00000100078,1.96263314809145
 GDPGP1,ENSG00000183208,-0.781054207634659
 CCDC77,ENSG00000120647,0.159871130164496
 KRTAP1-3,ENSG00000221880,6.53245248158885
 CCDC73,ENSG00000186714,-0.334467322689665
 CCDC70,ENSG00000123171,0.157970768338309
 CCDC71,ENSG00000177352,0.227917414332661
 CCDC78,ENSG00000162004,-0.76768922480953
 CCDC79,ENSG00000249961,-0.0579320925692651
 HIST3H2BB,ENSG00000196890,1.03375999975075
 GHITM,ENSG00000165678,-0.224442535587372
 FKBP1B,ENSG00000119782,-0.394789755712582
 FKBP1C,ENSG00000198225,-0.255878418464923
 FKBP1A,ENSG00000088832,0.116317022952518
 MAP10,ENSG00000212916,-0.626903223804607
 LGALS9B,ENSG00000170298,-0.42380633378843
 UNC50,ENSG00000115446,0.0120314073052454
 NKAIN3,ENSG00000185942,0.0409273701420137
 NKAIN2,ENSG00000188580,-0.409708469626568
 NKAIN1,ENSG00000084628,0.682314926768923
 MAP1A,ENSG00000166963,-1.12415732460593
 MAP1B,ENSG00000131711,-0.757076438661537
 IGSF9B,ENSG00000080854,-0.118101613757498
 UNC5B,ENSG00000107731,0.426647468254094
 UNC5C,ENSG00000182168,-1.9158953100608
 VGF,ENSG00000128564,0.556353321830032
 UNC5A,ENSG00000113763,-0.814259944241241
 UNC5D,ENSG00000156687,-0.260343764791249
 RP11-796G6.2,ENSG00000258512,0.930816594412718
 MAP1S,ENSG00000130479,-0.637681655093388
 CCP110,ENSG00000103540,-0.276304270265453
 RPL18A,ENSG00000105640,0.466411392779985
 CEND1,ENSG00000184524,-1.28955529494101
 CLEC18B,ENSG00000140839,-0.607223470192202
 SDR42E2,ENSG00000183921,-0.516878642335678
 SDR42E1,ENSG00000184860,2.267802475951
 ALOX12B,ENSG00000179477,2.47834299336579
 EPB41L1,ENSG00000088367,-0.803400153619671
 PPCDC,ENSG00000138621,0.0227299373230656
 EPB41L3,ENSG00000082397,-1.05712135268297
 EPB41L2,ENSG00000079819,-0.728186682143786
 EPB41L5,ENSG00000115109,-0.143812029189498
 ACSS3,ENSG00000111058,-1.04337149132642
 ACSS2,ENSG00000131069,0.243451565991301
 ACSS1,ENSG00000154930,-0.17197758385227
 KIDINS220,ENSG00000134313,-0.115526984182501
 RUNDC3A,ENSG00000108309,0.305873085896924
 DFNA5,ENSG00000105928,-1.44358829137187
 MAGEH1,ENSG00000187601,-0.740290297371318
 WNT3,ENSG00000108379,2.32973546882394
 WNT2,ENSG00000105989,1.31430341097632
 WNT1,ENSG00000125084,-1.00849085576867
 LRRN4,ENSG00000125872,0.0670354173065781
 AGXT,ENSG00000172482,0.300223293038077
 LRRN2,ENSG00000170382,-1.80465589048256
 LRRN1,ENSG00000175928,-0.106102701512458
 WNT4,ENSG00000162552,2.18194019008141
 CCM2L,ENSG00000101331,-0.233671493749906
 AAGAB,ENSG00000103591,0.0593889897140783
 RNF175,ENSG00000145428,-0.724322692522349
 RNF170,ENSG00000120925,-0.146888261109463
 FGGY,ENSG00000172456,0.336452395185759
 PCNA,ENSG00000132646,0.518763639238003
 ZBTB7A,ENSG00000178951,0.0125097462642053
 ZBTB7C,ENSG00000184828,1.29762527166897
 ZBTB7B,ENSG00000160685,1.1043544554759
 PCNP,ENSG00000081154,-0.0872162302061477
 PCNT,ENSG00000160299,0.0450088485128701
 PCNX,ENSG00000100731,-0.265692109448484
 UTY,ENSG00000183878,1.34089318036191
 PACRG,ENSG00000112530,0.267194623196715
 TOP3A,ENSG00000177302,0.114997492401518
 DNPH1,ENSG00000112667,0.158325825040614
 TOP3B,ENSG00000100038,0.0981755024702168
 UFD1L,ENSG00000070010,0.0181985876568933
 ILF3,ENSG00000129351,0.165700801945266
 ILF2,ENSG00000143621,0.355360068197009
 BOK,ENSG00000176720,0.475940940131779
 BOC,ENSG00000144857,1.11884573938633
 DENND2C,ENSG00000175984,0.905326576359914
 DENND2A,ENSG00000146966,-0.872788535732099
 DENND2D,ENSG00000162777,0.761735416985657
 GAGE1,ENSG00000205777,-0.0458945680793127
 PPT1,ENSG00000131238,-0.157011770977498
 PPT2,ENSG00000221988,0.121975826751132
 INPP4B,ENSG00000109452,-0.489024165875529
 INPP4A,ENSG00000040933,-0.508772179816283
 IGSF1,ENSG00000147255,-0.688949056016459
 SAFB,ENSG00000160633,0.149342692503315
 TRNP1,ENSG00000253368,-0.177735240054524
 DEFB123,ENSG00000180424,-0.225116007869979
 PPP1R26,ENSG00000196422,-0.239580889493966
 PPP1R27,ENSG00000182676,0.44959899413538
 PPP1R21,ENSG00000162869,-0.0725103880028993
 NGLY1,ENSG00000151092,0.0231607354066671
 LMX1A,ENSG00000162761,-0.905439126814485
 ZCCHC24,ENSG00000165424,-0.88901341261853
 LMX1B,ENSG00000136944,2.07622088452561
